rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/fps,train/n_updates,train/learning_rate,train/loss
0.9977584905660376,1200,-1.1196637500000002,3,300.0,4,324,,,
0.9955169811320755,2400,-1.9253369999999999,4,300.0,8,588,,,
0.9932754716981131,3600,-1.3314754166666665,4,300.0,12,809,,,
0.9910339622641511,4800,-1.2170123125,4,300.0,16,989,,,
0.9887924528301887,6000,-0.9173802999999999,5,300.0,20,1150,,,
0.9865509433962263,7200,-0.4104809583333333,5,300.0,24,1290,,,
0.9843094339622642,8400,0.31065692857142857,5,300.0,28,1412,,,
0.9820679245283018,9600,0.23561262500000005,6,300.0,32,1510,,,
0.9798264150943398,10800,0.3697340277777778,6,300.0,36,1606,,,
0.9775849056603774,12000,0.6375516750000001,7,300.0,40,1690,,,
0.9753433962264149,13200,0.39664715909090914,7,300.0,44,1754,,,
0.9731018867924529,14400,0.3394628958333334,7,300.0,48,1821,,,
0.9708603773584905,15600,0.07966509615384619,8,300.0,52,1884,,,
0.9686188679245284,16800,0.05757817857142859,8,300.0,56,1942,,,
0.966377358490566,18000,0.10878788333333335,9,300.0,60,1995,,,
0.9641358490566035,19200,0.19456521875000005,9,300.0,64,2046,,,
0.9618943396226416,20400,0.20821894117647066,9,300.0,68,2095,,,
0.9596528301886791,21600,0.17119756944444445,10,300.0,72,2138,,,
0.9574113207547171,22800,0.10948575000000002,10,300.0,76,2175,,,
0.9551698113207547,24000,0.08209446250000005,10,300.0,80,2213,,,
0.9529283018867927,25200,0.1257986428571429,11,300.0,84,2248,,,
0.9506867924528303,26400,0.019435329545454582,11,300.0,88,2280,,,
0.9484452830188678,27600,-0.028776847826086926,11,300.0,92,2312,,,
0.9462037735849058,28800,-0.10057659374999994,12,300.0,96,2339,,,
0.9439622641509433,30000,-0.12200183999999997,12,300.0,100,2363,,,
0.9417207547169814,31200,-0.04945671999999997,13,300.0,104,2389,,,
0.9394792452830188,32400,0.05695824999999997,13,300.0,108,2414,,,
0.9372377358490565,33600,0.09382714999999997,13,300.0,112,2439,,,
0.9349962264150945,34800,0.21844306999999993,14,300.0,116,2462,,,
0.932754716981132,36000,0.2538587799999999,14,300.0,120,2484,,,
0.93051320754717,37200,0.15836774999999995,14,300.0,124,2497,,,
0.9282716981132075,38400,-0.010986710000000009,15,300.0,128,2515,,,
0.9260301886792451,39600,0.08482397999999997,15,300.0,132,2534,,,
0.9237886792452831,40800,0.012699709999999911,16,300.0,136,2536,7,0.0001,0.03448612242937088
0.9215471698113207,42000,-0.14050945000000006,16,300.0,140,2540,19,0.0001,0.03163393586874008
0.9193056603773587,43200,0.04090262000000001,16,300.0,144,2546,31,0.0001,0.03048110194504261
0.9170641509433962,44400,0.09602048,17,300.0,148,2553,43,0.0001,0.026343151926994324
0.9148226415094338,45600,0.27735642000000005,17,300.0,152,2545,55,0.0001,0.02486151084303856
0.9125811320754718,46800,0.27702567000000006,18,300.0,156,2551,67,0.0001,0.022438064217567444
0.9103396226415094,48000,0.2702172,18,300.0,160,2556,79,0.0001,0.02177942916750908
0.9080981132075473,49200,0.18789312999999996,19,300.0,164,2564,91,0.0001,0.019999533891677856
0.9058566037735849,50400,0.09083664000000007,19,300.0,168,2571,103,0.0001,0.018368840217590332
0.9036150943396225,51600,0.13379868000000006,20,300.0,172,2578,115,0.0001,0.01631726697087288
0.9013735849056604,52800,0.09373979,20,300.0,176,2585,127,0.0001,0.014156416058540344
0.899132075471698,54000,0.10336713999999997,20,300.0,180,2592,139,0.0001,0.012483887374401093
0.896890566037736,55200,0.02473781000000004,21,300.0,184,2595,151,0.0001,0.011491047218441963
0.8946490566037736,56400,0.01743991000000003,21,300.0,188,2602,163,0.0001,0.009332899004220963
0.8924075471698112,57600,-0.023634629999999948,22,300.0,192,2605,175,0.0001,0.006523221731185913
0.8901660377358491,58800,-0.004441189999999946,22,300.0,196,2611,187,0.0001,0.004395395517349243
0.8879245283018867,60000,0.052976360000000014,22,300.0,200,2615,199,0.0001,0.003073108848184347
0.8856830188679247,61200,0.09545451000000003,23,300.0,204,2619,211,0.0001,0.0025916839949786663
0.8834415094339623,62400,0.07349423000000009,23,300.0,208,2623,223,0.0001,0.0020158004481345415
0.8811999999999998,63600,0.026995650000000055,24,300.0,212,2629,235,0.0001,0.00209617568179965
0.8789584905660378,64800,-0.025366779999999985,24,300.0,216,2630,247,0.0001,0.0021822198759764433
0.8767169811320754,66000,0.01863348000000003,25,300.0,220,2632,259,0.0001,0.0021507409401237965
0.8744754716981133,67200,-0.06973238999999998,25,300.0,224,2634,271,0.0001,0.0025383864995092154
0.872233962264151,68400,-0.08284022000000002,25,300.0,228,2637,283,0.0001,0.002573152771219611
0.8699924528301889,69600,-0.058922539999999995,26,300.0,232,2638,295,0.0001,0.0030541373416781425
0.8677509433962265,70800,-0.03324623999999996,26,300.0,236,2642,307,0.0001,0.003008452244102955
0.865509433962264,72000,-0.049119579999999975,27,300.0,240,2645,319,0.0001,0.0036302730441093445
0.863267924528302,73200,-0.28461152999999995,27,300.0,244,2646,331,0.0001,0.004394068382680416
0.8610264150943396,74400,-0.3007969,28,300.0,248,2648,343,0.0001,0.0038688918575644493
0.8587849056603771,75600,-0.32084976,28,300.0,252,2651,355,0.0001,0.0038168311584740877
0.8565433962264152,76800,-0.29370810999999997,28,300.0,256,2654,367,0.0001,0.004230314865708351
0.8543018867924528,78000,-0.3293637199999999,29,300.0,260,2657,379,0.0001,0.0047678458504378796
0.8520603773584907,79200,-0.26815207999999996,29,300.0,264,2660,391,0.0001,0.0050602019764482975
0.8498188679245282,80400,-0.14613490999999995,30,300.0,268,2663,403,0.0001,0.004605073016136885
0.8475773584905663,81600,-0.09511934999999994,30,300.0,272,2666,415,0.0001,0.004808368626981974
0.8453358490566039,82800,-0.15704599,31,300.0,276,2669,427,0.0001,0.004925491288304329
0.8430943396226414,84000,-0.13365185999999996,31,300.0,280,2671,439,0.0001,0.0050560785457491875
0.8408528301886794,85200,-0.08255618999999995,31,300.0,284,2673,451,0.0001,0.006685186643153429
0.8386113207547169,86400,-0.035490770000000026,32,300.0,288,2675,463,0.0001,0.0061650448478758335
0.8363698113207549,87600,0.03291217999999997,32,300.0,292,2677,475,0.0001,0.005779047030955553
0.8341283018867924,88800,0.02300662999999998,33,300.0,296,2679,487,0.0001,0.005785786081105471
0.83188679245283,90000,-0.004342720000000018,33,300.0,300,2682,499,0.0001,0.008211163803935051
0.8296452830188681,91200,-0.033408510000000016,33,300.0,304,2683,511,0.0001,0.006519441492855549
0.8274037735849056,92400,0.010806539999999974,34,300.0,308,2685,523,0.0001,0.006841583643108606
0.8251622641509436,93600,0.10709917999999995,34,300.0,312,2684,535,0.0001,0.007272288668900728
0.8229207547169811,94800,0.04233463999999997,35,300.0,316,2686,547,0.0001,0.006921524181962013
0.8206792452830187,96000,-0.03173360999999999,35,300.0,320,2686,559,0.0001,0.006762833334505558
0.8184377358490567,97200,0.12539868999999998,36,300.0,324,2687,571,0.0001,0.006881369277834892
0.8161962264150943,98400,0.07510872999999993,36,300.0,328,2688,583,0.0001,0.008126641623675823
0.8139547169811323,99600,-0.012199140000000053,37,300.0,332,2690,595,0.0001,0.007264947053045034
0.8117132075471698,100800,0.010478459999999981,79,300.0,336,1272,607,0.0001,0.0074736932292580605
0.8094716981132074,102000,0.06923933000000002,79,300.0,340,1280,619,0.0001,0.010106749832630157
