rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,train/learning_rate,train/n_updates,train/loss
0.9977584905660376,3,-0.8129225,4,300.0,1200,326,,,
0.9955169811320755,4,-0.4815791250000001,8,300.0,2400,591,,,
0.9932754716981131,4,-0.8079899166666666,12,300.0,3600,814,,,
0.9910339622641511,4,-0.8893718124999999,16,300.0,4800,993,,,
0.9887924528301887,5,-0.4654340499999998,20,300.0,6000,1154,,,
0.9865509433962263,5,-0.5977554166666667,24,300.0,7200,1295,,,
0.9843094339622642,5,-0.7356787857142857,28,300.0,8400,1417,,,
0.9820679245283018,6,-0.39261815624999985,32,300.0,9600,1513,,,
0.9798264150943398,6,-0.3832450833333332,36,300.0,10800,1608,,,
0.9775849056603774,7,-0.18273007499999994,40,300.0,12000,1693,,,
0.9753433962264149,7,-0.23426990909090903,44,300.0,13200,1756,,,
0.9731018867924529,7,-0.1496802916666666,48,300.0,14400,1824,,,
0.9708603773584905,8,-0.020787788461538385,52,300.0,15600,1886,,,
0.9686188679245284,8,0.15723396428571432,56,300.0,16800,1944,,,
0.966377358490566,9,0.23426910000000004,60,300.0,18000,1995,,,
0.9641358490566035,9,0.20369151562500004,64,300.0,19200,2047,,,
0.9618943396226416,9,0.27441504411764717,68,300.0,20400,2095,,,
0.9596528301886791,10,0.24498212500000005,72,300.0,21600,2138,,,
0.9574113207547171,10,0.3645990657894737,76,300.0,22800,2176,,,
0.9551698113207547,10,0.1802903250000001,80,300.0,24000,2213,,,
0.9529283018867927,11,0.27140077380952393,84,300.0,25200,2248,,,
0.9506867924528303,11,0.30020118181818184,88,300.0,26400,2279,,,
0.9484452830188678,11,0.21319943478260878,92,300.0,27600,2311,,,
0.9462037735849058,12,0.20059369791666673,96,300.0,28800,2336,,,
0.9439622641509433,12,0.07703882000000005,100,300.0,30000,2359,,,
0.9417207547169814,13,0.021452150000000024,104,300.0,31200,2386,,,
0.9394792452830188,13,0.04175325000000002,108,300.0,32400,2412,,,
0.9372377358490565,13,0.13197740000000002,112,300.0,33600,2435,,,
0.9349962264150945,14,0.19653096000000006,116,300.0,34800,2458,,,
0.932754716981132,14,0.09822161000000004,120,300.0,36000,2476,,,
0.93051320754717,14,0.14854982000000003,124,300.0,37200,2487,,,
0.9282716981132075,15,0.12732292000000003,128,300.0,38400,2506,,,
0.9260301886792451,15,0.03364422000000006,132,300.0,39600,2524,,,
0.9237886792452831,16,-0.07335795999999996,136,300.0,40800,2529,0.0001,7,0.0185529887676239
