rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/loss
-3.838586,1200,4,3,0.9977584905660376,300.0,349,,,
-3.2522656249999997,2400,8,3,0.9955169811320755,300.0,618,,,
-1.2925964999999997,3600,12,4,0.9932754716981131,300.0,836,,,
-0.07191850000000005,4800,16,4,0.9910339622641511,300.0,1015,,,
-1.28221975,6000,20,5,0.9887924528301887,300.0,1163,,,
-0.6462617499999997,7200,24,5,0.9865509433962263,300.0,1284,,,
0.21958042857142873,8400,28,6,0.9843094339622642,300.0,1389,,,
-0.09118868749999981,9600,32,6,0.9820679245283018,300.0,1483,,,
-0.0888717777777776,10800,36,6,0.9798264150943398,300.0,1564,,,
0.25187377499999997,12000,40,7,0.9775849056603774,300.0,1635,,,
-0.08022195454545457,13200,44,7,0.9753433962264149,300.0,1697,,,
0.33084047916666676,14400,48,8,0.9731018867924529,300.0,1756,,,
0.3981809230769231,15600,52,8,0.9708603773584905,300.0,1806,,,
0.31234628571428563,16800,56,9,0.9686188679245284,300.0,1852,,,
0.4878619999999999,18000,60,9,0.966377358490566,300.0,1889,,,
0.413765203125,19200,64,9,0.9641358490566035,300.0,1928,,,
0.53386775,20400,68,10,0.9618943396226416,300.0,1958,,,
0.2103038194444444,21600,72,10,0.9596528301886791,300.0,1991,,,
-0.16559910526315794,22800,76,11,0.9574113207547171,300.0,2015,,,
0.1114585874999999,24000,80,11,0.9551698113207547,300.0,2034,,,
-0.004718809523809595,25200,84,12,0.9529283018867927,300.0,2059,,,
-0.09714059090909091,26400,88,12,0.9506867924528303,300.0,2082,,,
-0.0436931847826087,27600,92,13,0.9484452830188678,300.0,2102,,,
-0.4943021458333335,28800,96,13,0.9462037735849058,300.0,2123,,,
-0.2553014300000002,30000,100,14,0.9439622641509433,300.0,2140,,,
-0.11590818000000025,31200,104,14,0.9417207547169814,300.0,2160,,,
0.08529835999999999,32400,108,14,0.9394792452830188,300.0,2178,,,
0.1802002300000001,33600,112,15,0.9372377358490565,300.0,2194,,,
0.15545076999999996,34800,116,15,0.9349962264150945,300.0,2194,,,
0.6296531999999999,36000,120,16,0.932754716981132,300.0,2206,,,
0.5968455899999999,37200,124,16,0.93051320754717,300.0,2221,,,
