time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss
2048,452,4,1,300.0,-7.217304333333334,,,,,,,,,,
4096,608,6,2,300.0,-3.2989962307692307,0.2,-0.010895368114870508,0.069091796875,0.19645076990127563,0.6128391783684493,0.009311174,0.0003,-0.6365606784820557,10,-1.9386831685900687
6144,711,8,3,300.0,-1.33850275,0.2,-0.017536745021061506,0.085595703125,0.12868216633796692,0.4188876408152282,0.008207602,0.0003,-0.06947684288024902,20,-1.9262499529868364
8192,773,10,4,300.0,-0.08645625925925915,0.2,-0.017732162316679023,0.066357421875,0.47282081842422485,0.8874215262942016,0.009326676,0.0003,0.06553637981414795,30,-1.9129010073840618
10240,818,12,5,300.0,-0.24873997058823522,0.2,-0.018703702474886084,0.08115234375,0.2007105052471161,0.44685995699837805,0.009981151,0.0003,0.1281750202178955,40,-1.8901980809867382
12288,854,14,6,300.0,0.0809115750000002,0.2,-0.02052936739200959,0.06630859375,0.05896909534931183,0.24620740809477865,0.008213859,0.0003,0.2561383843421936,50,-1.8795063279569149
14336,871,16,7,300.0,0.35677670212765966,0.2,-0.01984062808624003,0.06826171875,0.0699719786643982,0.3118944375310093,0.0077684135,0.0003,0.353945791721344,60,-1.876409562304616
16384,876,18,8,300.0,0.9891398518518518,0.2,-0.021754195808898657,0.086669921875,0.03407271206378937,0.2322176119312644,0.008688597,0.0003,0.5131490230560303,70,-1.869449496269226
18432,886,20,9,300.0,1.3656387540983608,0.2,-0.02032446195662487,0.07236328125,0.13616368174552917,0.32473731101490555,0.0075440677,0.0003,0.4991847276687622,80,-1.8512307289987802
20480,897,22,10,300.0,0.6705468088235295,0.2,-0.022120494683622382,0.0650390625,0.1406410187482834,0.4234247665852308,0.0076380074,0.0003,0.4273878335952759,90,-1.8436648555099964
22528,909,24,11,300.0,0.7294335333333334,0.2,-0.026088779319252353,0.111767578125,-0.01345410943031311,0.12094940412789583,0.0114344675,0.0003,-0.06548511981964111,100,-1.8461705040186644
24576,914,26,12,300.0,0.8390545432098766,0.2,-0.02237021542096045,0.07841796875,0.21865907311439514,0.5540838886983692,0.009198565,0.0003,0.09108191728591919,110,-1.8359907981008292
26624,923,28,13,300.0,0.8087677840909091,0.2,-0.024641991377575324,0.110107421875,0.20839889347553253,0.5229817621409893,0.010387492,0.0003,0.08764052391052246,120,-1.821759944409132
28672,919,31,14,300.0,0.7897851789473685,0.2,-0.028256209968822076,0.112109375,0.2220558524131775,0.6721239419654012,0.010914428,0.0003,-0.041819095611572266,130,-1.7826508428901433
30720,927,33,15,300.0,1.5169961600000001,0.2,-0.02474231377564138,0.1080078125,0.04870815575122833,0.2668409745208919,0.009409745,0.0003,0.0017519593238830566,140,-1.7672636672854423
32768,934,35,16,300.0,1.54652053,0.2,-0.027787763591913973,0.1173828125,0.06243802234530449,0.22140737040899694,0.010462113,0.0003,0.1412104368209839,150,-1.7402400121092796
34816,936,37,17,300.0,1.15297618,0.2,-0.02744374594767578,0.100341796875,0.10299329459667206,0.36424861368723216,0.01113024,0.0003,0.02740997076034546,160,-1.7303578417748213
36864,943,39,18,300.0,1.1877114,0.2,-0.029486957886547316,0.11552734375,0.0893462747335434,0.2658771256450564,0.012643325,0.0003,0.07586276531219482,170,-1.7208405058830976
38912,948,41,19,300.0,1.2303001399999998,0.2,-0.02907941755693173,0.109765625,0.06301920115947723,0.26674647713080046,0.011182286,0.0003,0.1461823582649231,180,-1.6930900692939759
40960,952,42,20,300.0,1.3853813599999998,0.2,-0.033799249064759354,0.149267578125,0.10955552756786346,0.31528959712013604,0.014199882,0.0003,0.18619966506958008,190,-1.6785087291151286
43008,956,44,21,300.0,1.4325801899999997,0.2,-0.027857087017036975,0.133544921875,0.07967302948236465,0.26181739661842585,0.012255516,0.0003,0.042321860790252686,200,-1.6730912659317254
45056,956,47,22,300.0,1.3805901300000005,0.2,-0.02860169388441136,0.12216796875,-0.0162922665476799,0.09836724784690887,0.011371867,0.0003,0.3440077304840088,210,-1.6445493765175343
47104,958,49,23,300.0,1.43110907,0.2,-0.030217907148471567,0.140478515625,0.1473565697669983,0.4165632963180542,0.012394555,0.0003,0.2123119831085205,220,-1.6408660955727101
49152,963,51,24,300.0,1.3727263200000002,0.2,-0.03099312120175455,0.1533203125,-0.005046878010034561,0.13709224071353673,0.013815597,0.0003,0.4484078884124756,230,-1.6094725891947745
51200,966,52,25,300.0,1.7412858799999997,0.2,-0.030058617261238395,0.136474609375,0.11251650005578995,0.40167888449504974,0.011339532,0.0003,0.3397672772407532,240,-1.5993997663259507
53248,968,55,26,300.0,1.28738193,0.2,-0.03008855886000674,0.132568359375,0.02838258445262909,0.17990704311523587,0.0135715045,0.0003,0.48251157999038696,250,-1.5907725874334573
55296,968,57,27,300.0,0.77141373,0.2,-0.03085425977478735,0.149462890625,0.10607357323169708,0.3118924962822348,0.012828486,0.0003,0.433631956577301,260,-1.6001672744750977
57344,968,59,28,300.0,1.0720547,0.2,-0.031978564633755015,0.13310546875,0.024702943861484528,0.2580733653623611,0.013703287,0.0003,0.5265659093856812,270,-1.5806970790028572
59392,971,61,29,300.0,0.9873837100000001,0.2,-0.029217567450541538,0.130908203125,0.1995151787996292,0.5224753974936902,0.01278495,0.0003,0.26118242740631104,280,-1.5696819879114627
