timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,-0.1805273757458332,0.16506631767803967,1.0,0.33
100000,-2.7400628299999994,-0.2686382767825874,0.07695541664128523,1.0,0.0025
200000,-0.8191444099999999,-0.2500036427195138,0.09559005070435887,1.0,0.0025
300000,3.13149795,-0.06528952362640637,0.2803041697974666,1.0,0.0
400000,-2.6736090200000007,-0.08621067626783414,0.2593830171560384,1.0,0.0
500000,0.4360821800000005,-0.11072576306056031,0.2348679303633125,1.0,0.0
600000,2.57088229,-0.11204709398131114,0.2335465994425615,1.0,0.0
700000,0.003906410000000337,-0.1458206158051562,0.1997730776187163,1.0,0.0
800000,1.1943378400000002,-0.1784467811563808,0.16714691226749195,1.0,0.0
900000,-2.22925401,-0.13083872899082644,0.2147549644330462,1.0,0.0
1000000,-6.110534519999999,-0.09748105378792023,0.2481126396359525,1.0,0.0
1100000,-3.3250363700000003,-0.11797536441239444,0.22761832901147827,1.0,0.0
1200000,-1.3516688300000004,-0.14979131815735916,0.19580237526651353,1.0,0.0
1300000,-4.16616991,-0.20464423982458704,0.14094945359928548,1.0,0.0
1400000,-0.5889442399999996,-0.13188520091289596,0.2137084925109768,1.0,0.0
1500000,-3.0380999599999994,-0.13057290106518551,0.21502079235868723,1.0,0.0
1600000,-0.8392996799999998,-0.2292082819684876,0.11638541145538514,1.0,0.0
1700000,0.17355733,-0.19469051472434523,0.15090317869952766,1.0,0.0025
1800000,-0.22724032999999985,-0.14570020016197344,0.19989349326189917,1.0,0.0
1900000,0.5842186999999998,-0.22032721004871725,0.12526648337515556,1.0,0.0
2000000,3.27324568,-0.2069792557735566,0.13861443765031614,1.0,0.0025
2100000,1.8080236999999997,-0.1861889232443817,0.15940477017949076,1.0,0.0
2200000,-5.136596219999999,-0.17761332864990456,0.16798036477396805,1.0,0.0
2300000,-1.1892777600000002,-0.20161899172356854,0.14397470170030444,1.0,0.0
2400000,-1.87957173,-0.15310485315071035,0.19248884027316243,1.0,0.0025
2500000,0.4507129499999995,-0.13130751009193403,0.2142861833319386,1.0,0.0
2600000,0.4607056400000002,-0.10696428164358146,0.23862941178029104,1.0,0.0
2700000,2.4431781000000004,-0.129547908037884,0.21604578538598865,1.0,0.0
2800000,2.00151791,-0.10283504527503759,0.24275864814883513,1.0,0.0025
2900000,-0.8916038300000001,-0.08793076904958617,0.25766292437428673,1.0,0.0025
3000000,3.9499128299999997,-0.08607020471992427,0.2595234887039483,1.0,0.0025
3100000,1.7692191799999994,-0.14560870993921418,0.19998498348465865,1.0,0.0025
3200000,-2.48219852,-0.12330286533406713,0.2222908280898055,1.0,0.0
3300000,2.44033367,-0.06409673156524792,0.2814969618586247,1.0,0.0
3400000,-3.8096956399999997,-0.07274460462416663,0.27284908879970615,1.0,0.0
3500000,-1.96799218,-0.13079745771902765,0.21479623570484513,1.0,0.0
3600000,0.16975172999999993,-0.16179733173720898,0.18379636168666377,1.0,0.0
3700000,-1.8046195600000001,-0.2571430468004729,0.0884506466233998,1.0,0.0
3800000,-1.4622454800000002,-0.18701706748191604,0.15857662594195682,1.0,0.0025
3900000,5.030023590000001,-0.13430878032400972,0.21128491309986294,1.0,0.0025
4000000,0.07081809000000003,-0.15836802848481263,0.18722566493905993,1.0,0.0
4100000,1.9527127600000003,-0.14899155812175857,0.19660213530211407,1.0,0.0
4200000,-0.9815406600000002,-0.08775533388079207,0.25783835954308076,1.0,0.0
4300000,0.09768373999999998,-0.16741578090275852,0.17817791252111406,1.0,0.0
4400000,3.95196666,-0.15278556988697456,0.19280812353689802,1.0,0.0
4500000,1.6095637700000005,-0.21254508578105497,0.1330486076428178,1.0,0.0
