timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,0.12615998263212116,0.13267904889756174,1.0,0.0575
100000,1.7154835499999999,-0.044760641166100505,-0.03824157490065985,1.0,0.0
200000,-1.83846949,-0.09130980154493223,-0.0847907352794915,1.0,0.0025
300000,-0.9022582099999997,-0.052405989765386886,-0.04588692349994614,1.0,0.01
400000,0.3712945599999998,-0.04549492946733926,-0.03897586320189856,1.0,0.0125
500000,-0.1602296699999999,-0.009911301349212103,-0.003392235083771462,1.0,0.0075
600000,-0.8076667900000001,0.050808208445155906,0.05732727471059659,1.0,0.005
700000,-1.2100362599999999,-0.040746548234075475,-0.03422748196863482,1.0,0.025
800000,-0.4528642499999998,0.028988833466382573,0.03550789973182336,1.0,0.01
900000,-1.8956309999999996,-0.015482978879703069,-0.008963912614262366,1.0,0.0075
1000000,0.22774200000000008,-0.10242393763399975,-0.09590487136855913,1.0,0.005
1100000,2.28405559,-0.06245299835652021,-0.055933932091079656,1.0,0.005
1200000,1.6987700899999998,0.02180010203275657,0.028319168298197167,1.0,0.0025
1300000,-4.08363663,0.0716536229748226,0.07817268924026323,1.0,0.0075
1400000,0.9008588899999999,0.04625948001547899,0.052778546280919734,1.0,0.005
1500000,-0.9475823999999998,-0.019393227345322065,-0.012874161079881472,1.0,0.005
1600000,1.2210047299999998,-0.0032883087308262305,0.00323075753461449,1.0,0.015
1700000,-1.2619634199999998,-0.01865370585522774,-0.012134639589787014,1.0,0.005
1800000,-0.3516361900000001,0.019191647125415868,0.02571071339085643,1.0,0.005
1900000,-0.007061140000000239,-0.003182949308695928,0.0033361169567447833,1.0,0.01
2000000,-1.49309644,-0.04799569277362942,-0.041476626508188764,1.0,0.0075
2100000,-0.5482504,-0.024133822066462737,-0.01761475580102216,1.0,0.005
2200000,0.5189941600000002,-0.03913998638323106,-0.03262092011779033,1.0,0.0075
2300000,-0.8896860000000001,-0.04643006961828375,-0.03991100335284312,1.0,0.0075
2400000,-1.8934382900000002,-0.03103679415042505,-0.024517727884984346,1.0,0.01
2500000,1.1061965200000001,-0.04119303790263823,-0.03467397163719741,1.0,0.0075
2600000,-1.2577571799999998,-0.017386308514543706,-0.010867242249103013,1.0,0.01
2700000,-0.15623507999999983,-0.014764203149400891,-0.008245136883960322,1.0,0.0125
2800000,-0.7350379499999999,-0.033403079920784666,-0.02688401365534407,1.0,0.0175
2900000,-1.7094341599999998,-0.034867400222559686,-0.028348333957118964,1.0,0.0075
3000000,0.35480686000000033,0.006720250651430675,0.013239316916871382,1.0,0.015
3100000,-3.8665270999999994,-0.10345480419576145,-0.09693573793032066,1.0,0.0025
3200000,-0.57721462,-0.042751493600860044,-0.036232427335419294,1.0,0.0025
3300000,-3.0475059600000005,0.0348258133799572,0.04134487964539797,1.0,0.005
3400000,0.7192231700000002,-0.014425536549768499,-0.007906470284327805,1.0,0.0075
3500000,0.82122641,-0.03945442476853041,-0.032935358503089665,1.0,0.0175
3600000,-1.1758506199999998,-0.05916080877230559,-0.052641742506865,1.0,0.0025
3700000,-0.79111973,-0.08115303112952425,-0.07463396486408364,1.0,0.0125
3800000,0.8507771399999998,-0.08377465455276228,-0.07725558828732157,1.0,0.0075
3900000,-0.64109278,-0.07009515505681271,-0.06357608879137203,1.0,0.0075
4000000,-0.42340917000000006,-0.06912381591404271,-0.06260474964860205,1.0,0.005
4100000,0.10586050000000016,-0.06741584231890853,-0.06089677605346795,1.0,0.005
4200000,0.23134094000000008,-0.03599136859322462,-0.02947230232778395,1.0,0.005
4300000,-0.018991750000000245,-0.06082304371048876,-0.054303977445048,1.0,0.005
4400000,-3.047547109999999,-0.019814973952159337,-0.013295907686718787,1.0,0.0125
4500000,-0.3684548400000004,-0.004398930271090791,0.002120135994349992,1.0,0.0175
4600000,0.20586260000000003,-0.03168505192252802,-0.025165985657087376,1.0,0.0125
4700000,-1.19141892,0.010612172219516474,0.017131238484957123,1.0,0.0125
4800000,-1.3961568299999996,0.03849946931135412,0.04501853557679475,1.0,0.0175
4900000,-1.9053452799999997,-0.10858006628285252,-0.10206100001741195,1.0,0.0025
5000000,-0.16915387999999973,0.021739956999163982,0.028259023264604756,1.0,0.005
5100000,-0.7735354999999999,-0.011830279970699227,-0.005311213705258568,1.0,0.0125
5200000,-0.4722249300000001,0.0319978562588139,0.03851692252425457,1.0,0.01
5300000,-0.96206292,-0.005119963272410128,0.0013991029930306186,1.0,0.015
5400000,1.4461506899999998,0.02278941377306541,0.029308480038506106,1.0,0.015
5500000,-2.0533936299999995,0.026972581673008575,0.0334916479384494,1.0,0.0
5600000,0.07658356999999992,0.03564249337233921,0.04216155963777988,1.0,0.0
5700000,0.054031010000000136,-0.06857086004959648,-0.06205179378415588,1.0,0.0
5800000,-2.67508354,-0.06755365629579609,-0.06103459003035521,1.0,0.005
5900000,-1.7367233300000005,-0.1004658110461992,-0.09394674478075843,1.0,0.0075
6000000,-0.27416586000000026,-0.03698585576064252,-0.030466789495201728,1.0,0.0
6100000,-1.5696470700000003,-0.03371716569269964,-0.027198099427258926,1.0,0.0
6200000,0.1563298999999999,-0.03351387792641255,-0.02699481166097189,1.0,0.005
6300000,-0.09395180000000018,-0.03166913835167648,-0.025150072086235785,1.0,0.0125
6400000,-2.01219999,-0.09690960899984696,-0.09039054273440623,1.0,0.01
6500000,-0.64731415,0.04496633452031068,0.05148540078575128,1.0,0.005
6600000,0.19269185999999933,0.013755523226053015,0.020274589491493664,1.0,0.005
6700000,-1.9605816600000006,0.027954690386942076,0.034473756652382656,1.0,0.0025
6800000,1.4469660299999998,0.010289596229969913,0.016808662495410367,1.0,0.0075
