rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
300.0,1536,97,150000,500,0.37910533999999996,0.7198113207547172,0.0016587595455348492,0.0001,1099
300.0,1541,98,151200,504,0.50400088,0.7175698113207547,0.0030328540597110987,0.0001,1111
300.0,1546,98,152400,508,0.4102266600000001,0.7153283018867923,0.002411164343357086,0.0001,1123
300.0,1551,98,153600,512,0.45606265000000007,0.7130867924528304,0.0023978017270565033,0.0001,1135
300.0,1556,99,154800,516,0.61554274,0.7108452830188678,0.0028091769199818373,0.0001,1147
300.0,1561,99,156000,520,0.67977947,0.7086037735849058,0.0016719585983082652,0.0001,1159
300.0,1566,100,157200,524,0.42783094999999993,0.7063622641509434,0.0029630926437675953,0.0001,1171
300.0,1571,100,158400,528,0.4423579,0.704120754716981,0.0021268301643431187,0.0001,1183
300.0,1575,101,159600,532,0.36174172,0.7018792452830189,0.0033332009334117174,0.0001,1195
300.0,1580,101,160800,536,0.4717390900000001,0.6996377358490565,0.0029616595711559057,0.0001,1207
300.0,1583,102,162000,540,0.40731587,0.6973962264150946,0.0032840268686413765,0.0001,1219
300.0,1588,102,163200,544,0.3895078600000001,0.6951547169811321,0.00459377933293581,0.0001,1231
300.0,1593,103,164400,548,0.34613606,0.6929132075471697,0.0039530349895358086,0.0001,1243
300.0,1597,103,165600,552,0.32237851000000006,0.6906716981132076,0.0024724379181861877,0.0001,1255
300.0,1602,104,166800,556,0.3438261699999999,0.6884301886792452,0.0024412304628640413,0.0001,1267
300.0,1604,104,168000,560,0.4080319099999999,0.6861886792452832,0.00373695301823318,0.0001,1279
300.0,1608,105,169200,564,0.5345756100000001,0.6839471698113208,0.0022369311191141605,0.0001,1291
300.0,1612,105,170400,568,0.40274586000000007,0.6817056603773588,0.005466037429869175,0.0001,1303
300.0,1616,106,171600,572,0.41864623000000006,0.6794641509433963,0.0018562749028205872,0.0001,1315
300.0,1620,106,172800,576,0.43733581,0.6772226415094338,0.0012286559212952852,0.0001,1327
300.0,1623,107,174000,580,0.38935793999999985,0.6749811320754718,0.0018751852912828326,0.0001,1339
300.0,1627,107,175200,584,0.37123085999999994,0.6727396226415094,0.0026304752100259066,0.0001,1351
300.0,1629,108,176400,588,0.5123906600000001,0.6704981132075469,0.0018855330999940634,0.0001,1363
300.0,1632,108,177600,592,0.46047694,0.668256603773585,0.004363205749541521,0.0001,1375
300.0,1636,109,178800,596,0.44370150999999985,0.6660150943396226,0.003341129282489419,0.0001,1387
300.0,1640,109,180000,600,0.5402626599999999,0.6637735849056605,0.0017380679491907358,0.0001,1399
300.0,1644,110,181200,604,0.47008398999999995,0.661532075471698,0.0031992900185287,0.0001,1411
300.0,1648,110,182400,608,0.55692027,0.6592905660377361,0.004060612991452217,0.0001,1423
300.0,1651,111,183600,612,0.5900589100000001,0.6570490566037737,0.002646758919581771,0.0001,1435
300.0,1655,111,184800,616,0.4778611,0.6548075471698112,0.002214723266661167,0.0001,1447
300.0,1659,112,186000,620,0.34593976000000004,0.6525660377358492,0.0018971404060721397,0.0001,1459
300.0,1663,112,187200,624,0.48575345999999997,0.6503245283018868,0.004036090336740017,0.0001,1471
300.0,1665,113,188400,628,0.4101733399999999,0.6480830188679243,0.004557333420962095,0.0001,1483
300.0,1668,113,189600,632,0.40318734,0.6458415094339622,0.0027919397689402103,0.0001,1495
300.0,1672,114,190800,636,0.37233769999999994,0.6435999999999998,0.0020731822587549686,0.0001,1507
300.0,1676,114,192000,640,0.3331604999999999,0.6413584905660379,0.003449240932241082,0.0001,1519
300.0,1679,115,193200,644,0.41568135,0.6391169811320754,0.0032767311204224825,0.0001,1531
300.0,1683,115,194400,648,0.44806610999999996,0.6368754716981134,0.0016048079123720527,0.0001,1543
300.0,1686,115,195600,652,0.5721097299999998,0.634633962264151,0.001974026672542095,0.0001,1555
300.0,1689,116,196800,656,0.48579508999999993,0.6323924528301885,0.0026970768813043833,0.0001,1567
300.0,1693,116,198000,660,0.38538709000000004,0.6301509433962265,0.0013071434805169702,0.0001,1579
300.0,1696,117,199200,664,0.21885428999999998,0.6279094339622641,0.0019441640470176935,0.0001,1591
300.0,1257,159,200400,668,0.17630784999999993,0.6256679245283021,0.002535315928980708,0.0001,1603
300.0,1261,159,201600,672,0.10015561999999996,0.6234264150943396,0.003473748918622732,0.0001,1615
