rollout/ep_rew_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/loss,train/n_updates,train/learning_rate
-5.47567775,0.9977584905660376,345,1200,300.0,3,4,,,
-5.905851125,0.9955169811320755,613,2400,300.0,3,8,,,
-4.07985475,0.9932754716981131,825,3600,300.0,4,12,,,
-1.6808728124999996,0.9910339622641511,1000,4800,300.0,4,16,,,
-1.3462299999999994,0.9887924528301887,1146,6000,300.0,5,20,,,
-1.2803870416666667,0.9865509433962263,1271,7200,300.0,5,24,,,
-0.40441682142857144,0.9843094339622642,1377,8400,300.0,6,28,,,
-0.39844237499999996,0.9820679245283018,1467,9600,300.0,6,32,,,
-0.5981816388888889,0.9798264150943398,1547,10800,300.0,6,36,,,
0.03505407499999995,0.9775849056603774,1618,12000,300.0,7,40,,,
0.14103674999999993,0.9753433962264149,1682,13200,300.0,7,44,,,
0.490208875,0.9731018867924529,1738,14400,300.0,8,48,,,
1.0623772115384615,0.9708603773584905,1786,15600,300.0,8,52,,,
1.1788553571428568,0.9686188679245284,1826,16800,300.0,9,56,,,
1.195766083333333,0.966377358490566,1869,18000,300.0,9,60,,,
1.0040985468749999,0.9641358490566035,1908,19200,300.0,10,64,,,
0.7586696911764704,0.9618943396226416,1942,20400,300.0,10,68,,,
0.697825,0.9596528301886791,1961,21600,300.0,11,72,,,
0.6972632368421053,0.9574113207547171,1992,22800,300.0,11,76,,,
0.6630420375,0.9551698113207547,2020,24000,300.0,11,80,,,
1.1248673452380953,0.9529283018867927,2045,25200,300.0,12,84,,,
0.8116533409090909,0.9506867924528303,2067,26400,300.0,12,88,,,
0.889570902173913,0.9484452830188678,2089,27600,300.0,13,92,,,
0.9147846875000001,0.9462037735849058,2111,28800,300.0,13,96,,,
1.1972821700000003,0.9439622641509433,2131,30000,300.0,14,100,,,
1.4630519800000001,0.9417207547169814,2151,31200,300.0,14,104,,,
1.44471111,0.9394792452830188,2167,32400,300.0,14,108,,,
1.6464747000000002,0.9372377358490565,2183,33600,300.0,15,112,,,
