timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,0.6168963785256635,0.04490041837462926,1.0,0.04
100000,2.8572536599999996,0.8572012507240104,0.2852052905729761,1.0,0.135
200000,-4.4872834699999995,1.473782038894778,0.9017860787437438,1.0,0.52
300000,-2.959698489999999,1.9551701979209684,1.3831742377699345,1.0,0.4975
400000,-7.046890329999999,0.8744020247745665,0.3024060646235325,1.0,0.1875
500000,-7.66057916,0.29084289353032733,-0.2811530666207071,1.0,0.0425
600000,-4.864765899999999,0.3334340407949125,-0.23856191935612145,1.0,0.045
700000,-1.8153697700000007,0.4915071572800757,-0.08048880287095832,1.0,0.02
800000,-1.3587049699999998,0.4967916456512661,-0.0752043144997681,1.0,0.0025
900000,-2.70261537,0.5212678836563195,-0.05072807649471451,1.0,0.005
1000000,2.5203262200000007,0.5619858722732503,-0.010010087877784053,1.0,0.0025
1100000,-2.5578301999999997,0.6078997060638488,0.03590374591281437,1.0,0.0
1200000,-2.55254481,0.5821891660709224,0.010193205919888123,1.0,0.0075
1300000,-0.4165382800000001,0.5454799687936831,-0.026515991357350933,1.0,0.0025
1400000,0.32523834000000007,0.5230446774727748,-0.04895128267825935,1.0,0.0
1500000,-2.856738450000001,0.5094453047723188,-0.06255065537871556,1.0,0.0
1600000,-3.68075338,0.5254024048199565,-0.04659355533107724,1.0,0.0
1700000,1.2899952700000006,0.5397110981615354,-0.03228486198949887,1.0,0.0
1800000,1.2051153299999995,0.5186502665942408,-0.05334569355679342,1.0,0.0
1900000,-0.4404825099999996,0.5701563121616082,-0.0018396479894260986,1.0,0.0025
2000000,-2.971916680000001,0.577980143248256,0.005984183097222013,1.0,0.005
