time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss
462,2048,1,4,0.4361661666666667,300.0,,,,,,,,,,
627,4096,2,6,1.738925384615385,300.0,-1.9412063099443913,0.08470544219017029,-0.8440009355545044,0.006105219,0.2769272375386208,0.0003,10,0.2,0.0337890625,-0.007604835756501416
701,6144,3,8,2.32367395,300.0,-1.930447043851018,0.05176527053117752,-0.052159667015075684,0.0069115367,0.3540351659525186,0.0003,20,0.2,0.04130859375,-0.012625821350957267
768,8192,4,10,2.5540289629629633,300.0,-1.916845278814435,0.3094277083873749,0.01916295289993286,0.0070377896,0.9028628670610488,0.0003,30,0.2,0.044775390625,-0.013499187846900896
788,10240,5,12,2.0857776176470586,300.0,-1.9223849423229695,0.16232259571552277,0.03081601858139038,0.007882938,0.48122248230502007,0.0003,40,0.2,0.07421875,-0.018356913056049962
828,12288,6,14,2.319944425,300.0,-1.9117641501128673,0.11064746230840683,0.13457906246185303,0.0066507477,0.30927564152516424,0.0003,50,0.2,0.0419921875,-0.016025743595673703
846,14336,7,16,1.8644751702127655,300.0,-1.8911640610545875,-0.0204632505774498,0.22696661949157715,0.0097561255,0.17052217887248844,0.0003,60,0.2,0.10498046875,-0.024262730334885418
861,16384,8,19,0.8979721481481482,300.0,-1.8608820389956235,0.1322271078824997,0.25120776891708374,0.01003821,0.3591251575388014,0.0003,70,0.2,0.113037109375,-0.022837480340967886
865,18432,9,21,0.4631582295081965,300.0,-1.8424530241638422,0.15847045183181763,0.469376802444458,0.010704502,0.351222427142784,0.0003,80,0.2,0.106591796875,-0.02345483057142701
878,20480,10,23,0.6680190441176469,300.0,-1.824292428046465,0.2119303196668625,0.4566332697868347,0.009845585,0.554235964640975,0.0003,90,0.2,0.08359375,-0.02481408752792049
891,22528,11,25,0.8631330799999999,300.0,-1.8116145700216293,0.171098992228508,0.4296388626098633,0.009622372,0.49574049450457097,0.0003,100,0.2,0.091552734375,-0.02335750747297425
900,24576,12,27,0.49493945679012324,300.0,-1.7861232344061135,0.13393953442573547,0.4147075414657593,0.010908611,0.38333532367832956,0.0003,110,0.2,0.1091796875,-0.02495971211756114
909,26624,13,29,0.5827786136363634,300.0,-1.767865239456296,0.09488960355520248,0.5301898121833801,0.008751012,0.2546256484463811,0.0003,120,0.2,0.091162109375,-0.023625097445619758
917,28672,14,31,0.2154764842105259,300.0,-1.7556696265935898,0.12724150717258453,0.24060779809951782,0.009981914,0.5186190337873995,0.0003,130,0.2,0.105615234375,-0.02700564546394162
925,30720,15,33,0.3641837499999998,300.0,-1.7601153377443552,0.031272321939468384,0.43859708309173584,0.010488354,0.2391773050185293,0.0003,140,0.2,0.107421875,-0.0266087146155769
930,32768,16,35,0.13625137999999992,300.0,-1.7601567856967448,0.23588323593139648,0.0810549259185791,0.011176158,0.6174929643049836,0.0003,150,0.2,0.116796875,-0.024827401028596797
932,34816,17,37,0.23914724999999976,300.0,-1.7358432836830615,0.11181843280792236,-0.008668303489685059,0.00951766,0.3134122199844569,0.0003,160,0.2,0.089013671875,-0.026627008539799137
937,36864,18,39,-0.34449203000000006,300.0,-1.7373611491173506,0.08683035522699356,-0.11482536792755127,0.010855664,0.33801782242953776,0.0003,170,0.2,0.103564453125,-0.02690448712965008
942,38912,19,41,-0.08505220000000017,300.0,-1.7162883430719376,-0.012962080538272858,-0.0029724836349487305,0.0112444,0.11290906245121732,0.0003,180,0.2,0.107763671875,-0.027789893904991914
947,40960,20,43,-0.18691556999999995,300.0,-1.7052872736006974,0.07404260337352753,0.00744473934173584,0.01221931,0.3796295856591314,0.0003,190,0.2,0.129833984375,-0.030678536454797723
949,43008,21,45,-0.48777081999999994,300.0,-1.7185764349997044,0.3134515881538391,0.030948519706726074,0.011604216,0.6071932783350349,0.0003,200,0.2,0.11943359375,-0.027807689471228515
950,45056,22,47,-0.012052089999999955,300.0,-1.6951222140341997,0.13307031989097595,-0.0465240478515625,0.011420168,0.393916861852631,0.0003,210,0.2,0.127783203125,-0.029522490757517516
951,47104,23,49,0.02501294000000005,300.0,-1.6662524189800023,0.004935532808303833,0.03246593475341797,0.01210391,0.18158006025478243,0.0003,220,0.2,0.156103515625,-0.03108586454181932
956,49152,24,51,-0.09588092000000001,300.0,-1.6619748193770647,0.22269371151924133,-0.01879405975341797,0.011749834,0.5694158178754151,0.0003,230,0.2,0.114990234375,-0.030971071825479157
959,51200,25,53,-0.21936751000000007,300.0,-1.6436340026557446,0.08441855013370514,0.0007155537605285645,0.012047948,0.4628978084307164,0.0003,240,0.2,0.13564453125,-0.028342549630906433
963,53248,26,55,-0.27622317999999996,300.0,-1.6451498296111822,-0.0038079358637332916,-0.11584973335266113,0.01417283,0.15271886291448028,0.0003,250,0.2,0.150146484375,-0.03143189981929027
964,55296,27,57,-0.2329238700000001,300.0,-1.636367667093873,0.008196711540222168,-0.012501716613769531,0.011672584,0.1834057666361332,0.0003,260,0.2,0.126416015625,-0.03107170811854303
967,57344,28,59,0.055703459999999955,300.0,-1.6310619335621594,0.07397475838661194,-0.02655768394470215,0.012834917,0.25648978794924915,0.0003,270,0.2,0.13984375,-0.03293506241461728
970,59392,29,61,0.06224692999999996,300.0,-1.5939812306314707,0.05278369039297104,-0.10144948959350586,0.012427292,0.46741458512842654,0.0003,280,0.2,0.13779296875,-0.030520780241931788
973,61440,30,63,0.15580478999999983,300.0,-1.5759453877806664,0.15928596258163452,0.10581338405609131,0.013670416,0.34472286445088685,0.0003,290,0.2,0.13671875,-0.02968398900120519
977,63488,31,64,0.08719676000000005,300.0,-1.584544475004077,-0.020988188683986664,0.1970139741897583,0.014964189,0.09730560809839517,0.0003,300,0.2,0.1587890625,-0.03570945687679341
978,65536,32,66,0.2488247500000002,300.0,-1.567418233677745,0.18999578058719635,0.15509963035583496,0.011431966,0.4192635195329785,0.0003,310,0.2,0.1353515625,-0.029104755591833963
978,67584,33,69,0.22724841000000004,300.0,-1.5694824539124965,0.06261523067951202,0.2265636920928955,0.013221473,0.3374041952658445,0.0003,320,0.2,0.130615234375,-0.029502401666832156
978,69632,34,71,0.36610282000000005,300.0,-1.575989254191518,0.42979687452316284,0.10331684350967407,0.011037856,0.7761481070891023,0.0003,330,0.2,0.102880859375,-0.0261644908474409
981,71680,35,73,-0.18376880999999998,300.0,-1.5804325059056281,0.2061832994222641,0.1896216869354248,0.0144669395,0.4856150096282363,0.0003,340,0.2,0.147705078125,-0.029166942079609726
981,73728,36,75,-0.6727777,300.0,-1.5705279573798179,0.07344351708889008,-0.2246781587600708,0.013709109,0.2214981726836413,0.0003,350,0.2,0.153759765625,-0.0322520987567259
