time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction
46,663,-0.5120921999999999,15,30720,300.0,0.0003,0.008713603019714355,-0.04188809543848038,0.010640146,0.028673691890435293,-1.7729673825204373,-0.0291123114322545,0.2,140,0.10966796875
48,676,-0.59180672,16,32768,300.0,0.0003,0.07590484619140625,-0.007529094815254211,0.008133033,0.051868348848074675,-1.7474406637251376,-0.023798938596155495,0.2,150,0.0779296875
50,685,-0.5355651999999997,17,34816,300.0,0.0003,-0.13057458400726318,-0.052532751113176346,0.011697304,0.03939596966956742,-1.7346974551677703,-0.03085927105275914,0.2,160,0.109814453125
53,694,-0.32656024999999994,18,36864,300.0,0.0003,0.03208369016647339,-0.025784168392419815,0.010536062,0.05453595748404041,-1.7279516723006965,-0.02767509169789264,0.2,170,0.107275390625
55,704,-0.21367145999999998,19,38912,300.0,0.0003,-0.03706538677215576,-0.04789616912603378,0.009701928,0.02576465163147077,-1.6779764462262392,-0.02932135215669405,0.2,180,0.112841796875
57,714,0.054245629999999954,20,40960,300.0,0.0003,0.006858527660369873,-0.018770454451441765,0.011645148,0.06396985153551213,-1.6611241530627012,-0.026744908062391916,0.2,190,0.1259765625
59,723,-0.06091127999999998,21,43008,300.0,0.0003,0.030329346656799316,-0.047292452305555344,0.011409119,0.04304654584848322,-1.6492582943290472,-0.03115766765840817,0.2,200,0.121484375
61,731,-0.08162063,22,45056,300.0,0.0003,0.02614384889602661,-0.03058917075395584,0.011967542,0.06927625328535214,-1.6442145440727471,-0.02697181516268756,0.2,210,0.135546875
64,734,-0.23468171000000002,23,47104,300.0,0.0003,0.09096652269363403,-0.04285811632871628,0.013541542,0.05464154805522412,-1.6333388090133667,-0.03133888689917512,0.2,220,0.169091796875
66,738,-0.38069720999999995,24,49152,300.0,0.0003,-0.06710529327392578,-0.02095380611717701,0.011091521,0.03935976288630627,-1.6196786854416132,-0.0293612471956294,0.2,230,0.121875
69,731,-0.43236014000000006,25,51200,300.0,0.0003,0.06214350461959839,-0.015528060495853424,0.011718457,0.06340794350253418,-1.6198688358068467,-0.029071642909548244,0.2,240,0.105810546875
72,738,-0.2803866,26,53248,300.0,0.0003,0.07733708620071411,-0.062357135117053986,0.013346724,0.027747562949662095,-1.6039134483784436,-0.03019108829612378,0.2,250,0.13984375
74,740,-0.24055632,27,55296,300.0,0.0003,0.17022842168807983,-0.06965871155261993,0.012302528,0.02133129446010571,-1.5685655072331428,-0.03117997825611383,0.2,260,0.139306640625
76,746,-0.36004634999999996,28,57344,300.0,0.0003,0.06537824869155884,-0.01901106908917427,0.012172959,0.10738348726881668,-1.5827672872692347,-0.03190520355128683,0.2,270,0.1361328125
78,753,-0.31589448999999986,29,59392,300.0,0.0003,0.03412950038909912,-0.03341463953256607,0.013811084,0.05598098683403805,-1.522899805381894,-0.03349163462698925,0.2,280,0.159423828125
80,758,-0.11660187999999988,30,61440,300.0,0.0003,0.03261613845825195,-0.06326687335968018,0.013452808,0.025096002564532684,-1.5217463042587043,-0.032535836628812834,0.2,290,0.1630859375
83,758,-0.20581829999999995,31,63488,300.0,0.0003,0.19371742010116577,-0.02236064523458481,0.0140086785,0.04540127643267624,-1.5087859816849232,-0.03281486187770497,0.2,300,0.158447265625
85,763,-0.10402693000000002,32,65536,300.0,0.0003,0.13614189624786377,-0.00580688938498497,0.015337217,0.04413946318090893,-1.47189411111176,-0.030841365439118817,0.2,310,0.178857421875
88,767,-0.13460119,33,67584,300.0,0.0003,0.1196710467338562,-0.03265794739127159,0.013458341,0.0752409724285826,-1.498940933868289,-0.03282094773821882,0.2,320,0.147412109375
90,771,-0.1324417099999999,34,69632,300.0,0.0003,-0.10785281658172607,-0.045941341668367386,0.0150482105,0.02721010547829792,-1.5139790952205658,-0.033479537724633704,0.2,330,0.15810546875
92,775,-0.03402469999999998,35,71680,300.0,0.0003,0.05758780241012573,-0.01558096893131733,0.013246637,0.05626322377938777,-1.46994356662035,-0.03186272343737073,0.2,340,0.145458984375
94,780,-0.009932409999999968,36,73728,300.0,0.0003,0.21600008010864258,-0.05176159739494324,0.014216796,0.028084637274150736,-1.4611236240714789,-0.03480820863333065,0.2,350,0.15322265625
96,782,-0.029194980000000044,37,75776,300.0,0.0003,-0.18670082092285156,-0.034530602395534515,0.014327594,0.05363338422612287,-1.4624018982052802,-0.030817764974199236,0.2,360,0.15029296875
99,785,0.06706326999999997,38,77824,300.0,0.0003,0.17904621362686157,-0.06383256614208221,0.016691022,0.05176823019864969,-1.4735857516527175,-0.03485162862634752,0.2,370,0.17666015625
100,791,0.13558174000000003,39,79872,300.0,0.0003,0.1400483250617981,-0.004135124385356903,0.013734737,0.12143767303787172,-1.4723594035953282,-0.03084206444036681,0.2,380,0.143896484375
103,793,0.23079156,40,81920,300.0,0.0003,-0.06632554531097412,-0.06023393198847771,0.015921474,0.04880797211662866,-1.462985159829259,-0.03498484405281488,0.2,390,0.181103515625
105,796,0.18674176000000006,41,83968,300.0,0.0003,-2.372264862060547e-05,-0.04684308171272278,0.015465032,0.03911855876795016,-1.4678419455885887,-0.032067430813913236,0.2,400,0.17041015625
107,799,0.29232689000000006,42,86016,300.0,0.0003,-0.12605416774749756,-0.05560290068387985,0.013421666,0.017219120560912415,-1.4536240957677364,-0.03338473782932851,0.2,410,0.15087890625
109,802,0.32589121,43,88064,300.0,0.0003,-0.032550930976867676,-0.06760895252227783,0.016232371,0.05966800994938239,-1.4222095940262078,-0.03455874756909907,0.2,420,0.166015625
111,806,0.2580490899999999,44,90112,300.0,0.0003,0.12144684791564941,-0.027440262958407402,0.012565429,0.022762008834979496,-1.4242016322910787,-0.03001086719450541,0.2,430,0.1396484375
114,805,0.011607220000000036,45,92160,300.0,0.0003,0.035824596881866455,-0.025421559810638428,0.014746578,0.09691351240035147,-1.4054038800299167,-0.034997866375488226,0.2,440,0.156689453125
116,808,0.010076619999999994,46,94208,300.0,0.0003,-0.5090951919555664,-0.0592585988342762,0.015069019,0.019875692494679242,-1.401179050281644,-0.035238648734230084,0.2,450,0.1576171875
