time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/policy_gradient_loss
966,67584,1.07332058,33,69,300.0,0.013929604,0.2420397235546261,0.2,0.5795414447784424,-1.5316455014050008,0.0003,320,0.07084208726882935,0.1494140625,-0.03304984838177916
967,69632,0.8143345,34,71,300.0,0.014081995,0.399227306433022,0.2,0.3310502767562866,-1.5212326858192682,0.0003,330,0.12873731553554535,0.1478515625,-0.030958983648451975
966,71680,0.3376658600000002,35,74,300.0,0.013405196,0.3290685831569135,0.2,0.20235967636108398,-1.4945418398827315,0.0003,340,0.14374199509620667,0.137939453125,-0.03188880094676279
966,73728,-0.25681853,36,76,300.0,0.013277046,0.2744236794533208,0.2,0.0768427848815918,-1.4708679385483265,0.0003,350,0.09637147188186646,0.151953125,-0.03201264750678092
967,75776,-0.4764708200000001,37,78,300.0,0.013048014,0.33509283801540735,0.2,0.10882174968719482,-1.4861287478357554,0.0003,360,0.10005034506320953,0.141162109375,-0.03125704480335116
969,77824,-0.6066987500000001,38,80,300.0,0.012897171,0.612315333634615,0.2,-0.01554858684539795,-1.4940480586141347,0.0003,370,0.24142327904701233,0.133203125,-0.03313104491680861
970,79872,-0.32749398,39,82,300.0,0.012880237,0.16475145877338945,0.2,0.14155209064483643,-1.4925051148980857,0.0003,380,0.03459402918815613,0.133349609375,-0.029457249914412387
971,81920,-0.9131905799999999,40,84,300.0,0.014625352,0.2273346243891865,0.2,0.20783895254135132,-1.4557939149439334,0.0003,390,0.038129016757011414,0.139306640625,-0.03313609668693971
973,83968,-0.82542978,41,86,300.0,0.012509726,0.49375094547867776,0.2,0.11972808837890625,-1.4438727833330631,0.0003,400,0.1886984407901764,0.122607421875,-0.027963545163947855
975,86016,-0.9851574000000001,42,88,300.0,0.014184332,0.6253508653491735,0.2,0.12096107006072998,-1.440851003304124,0.0003,410,0.24518996477127075,0.15302734375,-0.03369471098994836
977,88064,-0.5583890499999997,43,90,300.0,0.015723718,0.3760629973374307,0.2,0.005823731422424316,-1.420695685967803,0.0003,420,0.08997054398059845,0.15859375,-0.03164138100692071
978,90112,-0.37636922999999994,44,92,300.0,0.015332222,0.30521532013081015,0.2,0.2562425136566162,-1.417464479804039,0.0003,430,0.07412057369947433,0.169580078125,-0.0344060031187837
979,92160,-0.44987497999999987,45,94,300.0,0.01606946,0.4066425618249923,0.2,0.2619422674179077,-1.3964340530335904,0.0003,440,0.12509405612945557,0.158642578125,-0.03348132319806609
979,94208,-0.07106170999999997,46,96,300.0,0.016963303,0.37282325527630744,0.2,0.2360857129096985,-1.3510761518031358,0.0003,450,0.14745929837226868,0.1591796875,-0.03134945388010237
981,96256,0.23167853000000002,47,98,300.0,0.015732324,0.39678995972499254,0.2,0.3017287254333496,-1.3736213658004999,0.0003,460,0.10219789296388626,0.15390625,-0.03483035037934314
981,98304,0.48047695999999973,48,100,300.0,0.014362505,0.2906921587884426,0.2,0.32267749309539795,-1.3467903524637221,0.0003,470,0.09498025476932526,0.14853515625,-0.032332043134374544
635,100352,0.05831846999999996,49,158,300.0,0.016691322,0.18905254604760557,0.2,0.21920162439346313,-1.3243017308413982,0.0003,480,0.002743333578109741,0.17265625,-0.03534410646243487
640,102400,0.09777330999999982,50,159,300.0,0.018292625,0.20168710025027395,0.2,0.1422927975654602,-1.3386256150901317,0.0003,490,0.0320625826716423,0.17763671875,-0.035473892671870996
644,104448,0.26692586000000007,51,162,300.0,0.015158779,0.4516863101627678,0.2,0.119365394115448,-1.3369837392121553,0.0003,500,0.16082899272441864,0.165478515625,-0.03478058178443462
648,106496,-0.06929392000000004,52,164,300.0,0.016148634,0.11659309449605644,0.2,0.34491169452667236,-1.3237871181219816,0.0003,510,-0.060818810015916824,0.17041015625,-0.03648909683979582
651,108544,-0.19669077000000013,53,166,300.0,0.016191218,0.12398785823024809,0.2,0.5544437170028687,-1.2983628250658512,0.0003,520,-0.009251005947589874,0.156591796875,-0.035920194123173134
656,110592,-0.23484278999999994,54,168,300.0,0.016028322,0.3952646997757256,0.2,0.15592557191848755,-1.294162118062377,0.0003,530,0.0985034629702568,0.162890625,-0.033798725259839554
660,112640,0.2981957500000001,55,170,300.0,0.014906687,0.5481286164373159,0.2,0.24393075704574585,-1.3140715666115284,0.0003,540,0.16877791285514832,0.166552734375,-0.03442316385335289
664,114688,0.034849920000000055,56,172,300.0,0.017305931,0.3146811637096107,0.2,-0.05434226989746094,-1.2893068250268698,0.0003,550,0.09758305549621582,0.16904296875,-0.0338943901413586
668,116736,0.7863478800000001,57,174,300.0,0.018422563,0.37719664801843467,0.2,0.132479727268219,-1.3081354137510062,0.0003,560,0.04210714250802994,0.16611328125,-0.035064232515287584
672,118784,0.5311876699999999,58,176,300.0,0.014991581,0.267948949104175,0.2,0.09953761100769043,-1.3178613372147083,0.0003,570,0.05216424539685249,0.16611328125,-0.03449321819643956
676,120832,0.20031072000000003,59,178,300.0,0.017586008,0.12679135969374328,0.2,0.09050995111465454,-1.3168982774019242,0.0003,580,-0.012132301926612854,0.169775390625,-0.03206967307487503
680,122880,-0.13316663999999995,60,180,300.0,0.015562423,0.4944731745868921,0.2,-0.01535797119140625,-1.298824666440487,0.0003,590,0.1942570060491562,0.16083984375,-0.03521495829336345
683,124928,-0.06798934000000012,61,182,300.0,0.01799786,0.4941874943673611,0.2,0.03653520345687866,-1.2700997244566679,0.0003,600,0.14551526308059692,0.16728515625,-0.035788004114874636
687,126976,-0.5108385400000001,62,184,300.0,0.015898949,0.3728244676720351,0.2,0.006477236747741699,-1.237682279571891,0.0003,610,0.11155151575803757,0.160546875,-0.03589156997331884
691,129024,0.05093752999999987,63,186,300.0,0.015803494,0.26779604936018586,0.2,-0.02849125862121582,-1.2483183410018683,0.0003,620,0.07316048443317413,0.160693359375,-0.03492362654360477
695,131072,0.08864318999999997,64,188,300.0,0.016309489,0.4043633368331939,0.2,-0.004212856292724609,-1.2245041068643332,0.0003,630,0.13634681701660156,0.1634765625,-0.0356219904802856
698,133120,-0.07071467000000006,65,190,300.0,0.01903193,0.4582259845919907,0.2,-0.05179917812347412,-1.220453567802906,0.0003,640,0.13624276220798492,0.185986328125,-0.03335959350224584
701,135168,-0.06023692000000012,66,192,300.0,0.016606595,0.20340815638191997,0.2,0.10945010185241699,-1.2154154613614083,0.0003,650,0.04034928232431412,0.172119140625,-0.03356713020475581
704,137216,0.08873403999999993,67,194,300.0,0.019546598,0.4814637305215001,0.2,0.00679779052734375,-1.1818829406052829,0.0003,660,0.11149032413959503,0.191796875,-0.03485147098399466
706,139264,-0.30829447999999987,68,197,300.0,0.016060207,0.1902859442634508,0.2,-0.04282176494598389,-1.217741472274065,0.0003,670,0.017290636897087097,0.16513671875,-0.03222798458300531
709,141312,-0.3575515700000001,69,199,300.0,0.018301155,0.3669653098098934,0.2,0.15582871437072754,-1.201121462509036,0.0003,680,0.12327160686254501,0.17998046875,-0.03685344104596879
713,143360,-0.3939222800000001,70,200,300.0,0.016869226,0.2734032349195331,0.2,0.21168529987335205,-1.1908762987703085,0.0003,690,0.05600864067673683,0.167822265625,-0.034884100352064705
715,145408,-0.44239972000000016,71,203,300.0,0.018208543,0.15340886039193719,0.2,-0.05467045307159424,-1.1923779718577863,0.0003,700,-0.0020899027585983276,0.16884765625,-0.037755801301682365
718,147456,-0.6069566199999998,72,205,300.0,0.01882023,0.21384478150866926,0.2,-0.10009515285491943,-1.2195230159908532,0.0003,710,0.01019211858510971,0.1724609375,-0.03255165585287614
722,149504,-0.8837182,73,207,300.0,0.018665142,0.3347562009468675,0.2,0.12718653678894043,-1.2077129445970058,0.0003,720,0.08205562829971313,0.180224609375,-0.03626275316637475
724,151552,-0.8058225099999998,74,209,300.0,0.015660185,0.30124231553636494,0.2,-0.21725761890411377,-1.198110582306981,0.0003,730,0.03744525462388992,0.18271484375,-0.036347380714141765
728,153600,-0.69665175,75,210,300.0,0.018902782,0.09604109602514654,0.2,-0.023932456970214844,-1.2058757923543453,0.0003,740,-0.019759461283683777,0.18837890625,-0.039718996683950535
730,155648,-1.0125920200000003,76,213,300.0,0.017339854,0.37761755543760955,0.2,0.1921256184577942,-1.1982096023857594,0.0003,750,0.07420077919960022,0.193359375,-0.038012740758131255
733,157696,-0.7986881,77,215,300.0,0.017804412,0.45743573773652313,0.2,0.08317667245864868,-1.1989982843399047,0.0003,760,0.12260963022708893,0.184326171875,-0.035803573901648636
735,159744,-0.6422375499999999,78,217,300.0,0.018500257,0.6063295992091298,0.2,0.1371934413909912,-1.204506329447031,0.0003,770,0.1614292412996292,0.179638671875,-0.03719404613948427
736,161792,-0.5491509800000002,79,219,300.0,0.019424912,0.18297144467942417,0.2,0.40674448013305664,-1.1836225759238004,0.0003,780,0.014846459031105042,0.183251953125,-0.036794042546534914
739,163840,-0.44375818999999983,80,221,300.0,0.016990254,0.2584871032740921,0.2,0.2890346050262451,-1.1916246127337218,0.0003,790,0.04589960724115372,0.178564453125,-0.03676010971976211
740,165888,-0.63840691,81,223,300.0,0.015515819,0.5199666603468358,0.2,0.20126914978027344,-1.1624897666275502,0.0003,800,0.18571791052818298,0.167529296875,-0.03517060126905562
741,167936,-0.12805411999999985,82,226,300.0,0.017953962,0.09709814130328595,0.2,0.48435670137405396,-1.1743420798331499,0.0003,810,-0.02250194177031517,0.182763671875,-0.037774256693955975
744,169984,-0.2503714999999999,83,228,300.0,0.016135281,0.16727557843551039,0.2,0.6259940266609192,-1.1706198651343585,0.0003,820,-0.020294956862926483,0.16572265625,-0.03387774114671629
746,172032,-0.4928058899999997,84,230,300.0,0.017729903,0.49096401492133734,0.2,0.1991260051727295,-1.180945271998644,0.0003,830,0.24995234608650208,0.160107421875,-0.03297504266083706
748,174080,-1.10221144,85,232,300.0,0.017565336,0.545857010036707,0.2,0.13554424047470093,-1.1787146033719182,0.0003,840,0.18718034029006958,0.160009765625,-0.0340691175108077
750,176128,-0.49821138999999987,86,234,300.0,0.018243678,0.21448756083846093,0.2,0.08159470558166504,-1.191565616801381,0.0003,850,0.028630472719669342,0.177197265625,-0.038722476511611606
753,178176,0.008542450000000059,87,236,300.0,0.017763294,0.13615394942462444,0.2,0.3343585133552551,-1.1878802619874478,0.0003,860,0.0018714666366577148,0.175927734375,-0.03750862739980221
755,180224,-0.2625831899999998,88,238,300.0,0.019471675,0.35941081582568585,0.2,0.3818575143814087,-1.192847952246666,0.0003,870,0.10582014918327332,0.203466796875,-0.03933416245563422
757,182272,-0.19942207999999986,89,240,300.0,0.021158313,0.8132201401516795,0.2,0.2083221673965454,-1.1908061318099499,0.0003,880,0.3221878409385681,0.21474609375,-0.040430217114044355
759,184320,-0.06088983999999989,90,242,300.0,0.019882444,0.349943498428911,0.2,0.2809677720069885,-1.1948290273547173,0.0003,890,0.15519925951957703,0.181494140625,-0.03867350826621987
761,186368,0.14586540000000028,91,244,300.0,0.021408396,0.1290583037538454,0.2,0.2762370705604553,-1.1760883666574955,0.0003,900,0.010370463132858276,0.193017578125,-0.035659257555380464
762,188416,-0.4091268200000001,92,246,300.0,0.019077113,0.3789202604442835,0.2,0.17520099878311157,-1.1529255986213685,0.0003,910,0.11711443960666656,0.196142578125,-0.038515102246310565
765,190464,-0.9063059900000002,93,248,300.0,0.01828812,0.18221920093055816,0.2,0.012632369995117188,-1.1806905057281256,0.0003,920,0.021833404898643494,0.189599609375,-0.040059917021426375
766,192512,-0.3458010699999997,94,251,300.0,0.021804357,0.2266134398523718,0.2,-0.031883835792541504,-1.17677228115499,0.0003,930,0.02636248618364334,0.193994140625,-0.0403678692469839
767,194560,-0.08488970999999995,95,253,300.0,0.018843228,0.2361924425000325,0.2,0.10342735052108765,-1.1703311018645763,0.0003,940,0.024173561483621597,0.166357421875,-0.03870425249333494
768,196608,-0.08191225000000017,96,255,300.0,0.022552656,0.2957575097680092,0.2,0.0785112977027893,-1.1614586494863033,0.0003,950,0.06030753254890442,0.205419921875,-0.04123905415181071
769,198656,-0.39370747999999994,97,258,300.0,0.018749028,0.20332765434868633,0.2,0.1539188027381897,-1.1591249253600835,0.0003,960,0.016928575932979584,0.196923828125,-0.03906626243842766
635,200704,-0.38436350999999996,98,315,300.0,0.019736076,0.6434533141553402,0.2,-0.010593175888061523,-1.1557926882058382,0.0003,970,0.2667372226715088,0.187255859375,-0.03796593041479355
637,202752,0.07703608000000002,99,317,300.0,0.019234475,0.1698933688690886,0.2,0.08536618947982788,-1.1687547359615564,0.0003,980,-0.042580753564834595,0.199755859375,-0.03939108031336218
640,204800,0.53721138,100,319,300.0,0.021571549,0.4122611369937658,0.2,0.06907832622528076,-1.1870546966791153,0.0003,990,0.17605368793010712,0.203515625,-0.040535137441474946
642,206848,0.41762104999999994,101,321,300.0,0.02175693,0.3785368681419641,0.2,0.1882891058921814,-1.1874283161014318,0.0003,1000,0.09763826429843903,0.208447265625,-0.04133289421442896
644,208896,0.03858964999999996,102,324,300.0,0.017273303,0.1359420437598601,0.2,0.3856249451637268,-1.1852250639349222,0.0003,1010,-0.023390017449855804,0.16826171875,-0.03784199616929982
646,210944,0.05361098000000004,103,326,300.0,0.017850175,0.49285314241424205,0.2,0.21536540985107422,-1.190209709480405,0.0003,1020,0.17081989347934723,0.179345703125,-0.03992741327383555
649,212992,-0.1615847499999999,104,328,300.0,0.018574942,0.4178533533588052,0.2,0.11693620681762695,-1.1870264187455177,0.0003,1030,0.11271350085735321,0.204541015625,-0.038205065042711796
651,215040,-0.22564904999999988,105,330,300.0,0.019434439,0.2950783063191921,0.2,0.06485193967819214,-1.1698363795876503,0.0003,1040,0.09863288700580597,0.196826171875,-0.04066611681482755
653,217088,0.15069751000000017,106,332,300.0,0.019573918,0.40405009081587195,0.2,0.023949861526489258,-1.181290613859892,0.0003,1050,0.11871667206287384,0.174365234375,-0.04001974583734409
655,219136,0.6415642600000001,107,334,300.0,0.018930981,0.52502420861274,0.2,0.060995519161224365,-1.1631642498075963,0.0003,1060,0.20258653163909912,0.19453125,-0.039407896337797864
657,221184,0.6140085800000002,108,336,300.0,0.018652946,0.5752663009800016,0.2,0.006032168865203857,-1.1766230694949626,0.0003,1070,0.21067366003990173,0.175048828125,-0.03827745875605615
659,223232,0.10866342000000007,109,338,300.0,0.023222202,0.21638798359781503,0.2,-0.04024672508239746,-1.1801523424685,0.0003,1080,0.02491094172000885,0.20751953125,-0.04103594337939285
662,225280,-0.04380817999999973,110,340,300.0,0.021393865,0.3003702629823238,0.2,0.04250425100326538,-1.1647459473460913,0.0003,1090,0.08147634565830231,0.207373046875,-0.04442896190739702
664,227328,-0.09083649000000017,111,342,300.0,0.020996287,0.23774480312131346,0.2,0.12944501638412476,-1.1523737519979478,0.0003,1100,0.038097284734249115,0.19375,-0.04094002882047789
665,229376,0.24762331000000004,112,344,300.0,0.022307694,0.2761182644870132,0.2,0.31144005060195923,-1.1427140720188618,0.0003,1110,0.03799410164356232,0.218603515625,-0.04322555630351417
667,231424,0.3906294300000001,113,346,300.0,0.021659056,0.21791301257908344,0.2,0.15502017736434937,-1.1469169795513152,0.0003,1120,0.032340265810489655,0.190234375,-0.044029419467551636
669,233472,0.16856466999999994,114,348,300.0,0.020545455,0.47507467232644557,0.2,0.20324766635894775,-1.1314832456409931,0.0003,1130,0.2312743365764618,0.2130859375,-0.043526217492762954
672,235520,0.37678310999999987,115,350,300.0,0.018218622,0.20227370026987046,0.2,-0.25478696823120117,-1.132313496991992,0.0003,1140,0.039601318538188934,0.1919921875,-0.03751246583124157
673,237568,0.036732869999999966,116,352,300.0,0.020619828,0.7032279095612466,0.2,-0.1155843734741211,-1.130004769563675,0.0003,1150,0.11299458146095276,0.200634765625,-0.04030948220461141
675,239616,-0.12034215000000006,117,354,300.0,0.01884954,0.340119615662843,0.2,0.006338894367218018,-1.1248469524085523,0.0003,1160,0.16375726461410522,0.188671875,-0.039502286820788865
677,241664,-0.03537843,118,356,300.0,0.018188298,0.39471049066632985,0.2,-0.07574343681335449,-1.12926633823663,0.0003,1170,0.10407643020153046,0.1892578125,-0.0374508469743887
679,243712,-0.1359647600000001,119,358,300.0,0.022316879,0.21134627067949624,0.2,-0.15111267566680908,-1.1157691892236472,0.0003,1180,0.019005395472049713,0.199560546875,-0.04038794100197265
681,245760,-0.24918422999999992,120,360,300.0,0.02239361,0.5623846730682999,0.2,-0.0013980865478515625,-1.1430316986516118,0.0003,1190,0.23149989545345306,0.21328125,-0.041216525933123194
683,247808,-0.56004808,121,362,300.0,0.019629663,0.21101307384669782,0.2,-0.06612253189086914,-1.1058608382940291,0.0003,1200,0.0408603735268116,0.199365234375,-0.03960241378517822
