time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
62400,208,2624,23,-0.15047934999999998,300.0,0.8834415094339623,0.005189927294850349,223,0.0001
63600,212,2629,24,-0.03875874999999998,300.0,0.8811999999999998,0.003947016783058643,235,0.0001
64800,216,2629,24,-0.08151031999999998,300.0,0.8789584905660378,0.0032452961895614862,247,0.0001
66000,220,2627,25,-0.059858519999999936,300.0,0.8767169811320754,0.002666482701897621,259,0.0001
67200,224,2631,25,-0.18232052999999993,300.0,0.8744754716981133,0.004201005212962627,271,0.0001
68400,228,2635,25,0.01166622000000003,300.0,0.872233962264151,0.0031821117736399174,283,0.0001
69600,232,2637,26,-0.05594753999999999,300.0,0.8699924528301889,0.002758096205070615,295,0.0001
70800,236,2641,26,-0.14266888,300.0,0.8677509433962265,0.0032884073443710804,307,0.0001
72000,240,2641,27,-0.22055584999999994,300.0,0.865509433962264,0.003019660711288452,319,0.0001
73200,244,2644,27,-0.22800783,300.0,0.863267924528302,0.003562770551070571,331,0.0001
74400,248,2646,28,-0.20690744,300.0,0.8610264150943396,0.004192133899778128,343,0.0001
75600,252,2649,28,-0.14691502,300.0,0.8587849056603771,0.003921285271644592,355,0.0001
76800,256,2652,28,-0.23435806,300.0,0.8565433962264152,0.0036061140708625317,367,0.0001
78000,260,2656,29,-0.35383641999999993,300.0,0.8543018867924528,0.003511532209813595,379,0.0001
79200,264,2658,29,-0.2711827599999999,300.0,0.8520603773584907,0.003910357132554054,391,0.0001
80400,268,2662,30,-0.36678270999999996,300.0,0.8498188679245282,0.0037550772540271282,403,0.0001
81600,272,2665,30,-0.40593832999999996,300.0,0.8475773584905663,0.0038443859666585922,415,0.0001
82800,276,2668,31,-0.36786786,300.0,0.8453358490566039,0.003856983035802841,427,0.0001
84000,280,2672,31,-0.2952125800000001,300.0,0.8430943396226414,0.004026833456009626,439,0.0001
85200,284,2673,31,-0.25750940000000005,300.0,0.8408528301886794,0.004238574765622616,451,0.0001
86400,288,2675,32,-0.30650653,300.0,0.8386113207547169,0.004714061971753836,463,0.0001
87600,292,2678,32,-0.30009857,300.0,0.8363698113207549,0.004189617931842804,475,0.0001
88800,296,2681,33,-0.27775653,300.0,0.8341283018867924,0.005256840493530035,487,0.0001
90000,300,2683,33,-0.21963284000000002,300.0,0.83188679245283,0.0048049381002783775,499,0.0001
91200,304,2684,33,-0.29960117,300.0,0.8296452830188681,0.004408083390444517,511,0.0001
92400,308,2686,34,-0.27478272,300.0,0.8274037735849056,0.0047041382640600204,523,0.0001
93600,312,2685,34,-0.40471521999999993,300.0,0.8251622641509436,0.004277597647160292,535,0.0001
94800,316,2687,35,-0.3274351200000001,300.0,0.8229207547169811,0.004028076771646738,547,0.0001
96000,320,2687,35,-0.32320624,300.0,0.8206792452830187,0.0048418776132166386,559,0.0001
97200,324,2688,36,-0.3988802199999999,300.0,0.8184377358490567,0.005274316295981407,571,0.0001
98400,328,2688,36,-0.6469226199999999,300.0,0.8161962264150943,0.004618239589035511,583,0.0001
99600,332,2689,37,-0.5050892099999998,300.0,0.8139547169811323,0.005169900134205818,595,0.0001
100800,336,1273,79,-0.39329053,300.0,0.8117132075471698,0.005450479686260223,607,0.0001
102000,340,1282,79,-0.3140506500000001,300.0,0.8094716981132074,0.0054622674360871315,619,0.0001
103200,344,1290,79,-0.28114341000000004,300.0,0.8072301886792453,0.005720668472349644,631,0.0001
104400,348,1298,80,-0.20909032999999996,300.0,0.804988679245283,0.004516655579209328,643,0.0001
105600,352,1306,80,-0.16628366,300.0,0.8027471698113209,0.006766066886484623,655,0.0001
106800,356,1314,81,-0.08404797999999998,300.0,0.8005056603773585,0.005108421668410301,667,0.0001
108000,360,1321,81,0.01898175000000003,300.0,0.7982641509433961,0.006453946698457003,679,0.0001
109200,364,1329,82,0.013684000000000047,300.0,0.796022641509434,0.008084445260465145,691,0.0001
110400,368,1336,82,0.14468926000000007,300.0,0.7937811320754716,0.008153386414051056,703,0.0001
111600,372,1344,83,0.08677179000000004,300.0,0.7915396226415096,0.0063720825128257275,715,0.0001
112800,376,1351,83,0.030254540000000017,300.0,0.7892981132075472,0.005942124407738447,727,0.0001
114000,380,1358,83,-0.035204269999999975,300.0,0.7870566037735847,0.006229857914149761,739,0.0001
115200,384,1366,84,0.05710047000000005,300.0,0.7848150943396227,0.005255154334008694,751,0.0001
116400,388,1372,84,0.06841069000000005,300.0,0.7825735849056603,0.00541137158870697,763,0.0001
117600,392,1379,85,0.06986836000000002,300.0,0.7803320754716982,0.004459504969418049,775,0.0001
118800,396,1386,85,0.06064199999999998,300.0,0.7780905660377359,0.007019346114248037,787,0.0001
120000,400,1393,86,0.21157839000000003,300.0,0.7758490566037735,0.0073273577727377415,799,0.0001
121200,404,1399,86,0.21283630000000003,300.0,0.7736075471698114,0.004336630459874868,811,0.0001
122400,408,1406,87,0.17325968,300.0,0.7713660377358489,0.006062468979507685,823,0.0001
123600,412,1413,87,0.27236870999999996,300.0,0.7691245283018869,0.00522833876311779,835,0.0001
124800,416,1419,87,0.29319705,300.0,0.7668830188679245,0.005853956565260887,847,0.0001
126000,420,1425,88,0.26191250999999993,300.0,0.7646415094339625,0.006011303514242172,859,0.0001
127200,424,1431,88,0.35292032,300.0,0.7624000000000001,0.004003128036856651,871,0.0001
128400,428,1438,89,0.45505516999999995,300.0,0.7601584905660377,0.006310260854661465,883,0.0001
129600,432,1444,89,0.3863880400000001,300.0,0.7579169811320756,0.005086374469101429,895,0.0001
130800,436,1450,90,0.23546707999999994,300.0,0.7556754716981131,0.007542161270976067,907,0.0001
132000,440,1456,90,0.34351182999999996,300.0,0.7534339622641508,0.00479541253298521,919,0.0001
