time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss
1,221,2048,0.7930531666666667,300.0,9,,,,,,,,,,
2,326,4096,-1.2811663846153845,300.0,12,10,0.05257753907935694,0.052197265625,0.2,-0.008795379268121906,-1.632476806640625,0.009986092,0.0003,-0.014099139720201492,-1.937498063966632
3,376,6144,-0.6224517,300.0,16,20,0.020751691996701994,0.03935546875,0.2,-0.010425957496045158,-0.3818356990814209,0.00686552,0.0003,-0.05479789152741432,-1.9331437401473521
4,432,8192,-0.7906366666666668,300.0,18,30,0.061286560352891685,0.059912109375,0.2,-0.013447802500741091,-0.11248588562011719,0.008307297,0.0003,-0.010368835180997849,-1.918147973716259
5,480,10240,-0.30086373529411764,300.0,21,40,0.0383487272891216,0.085595703125,0.2,-0.016565041565627325,-0.011287212371826172,0.008864345,0.0003,-0.05065099522471428,-1.9069027349352836
6,501,12288,-0.14854279999999997,300.0,24,50,0.11400882486486807,0.07666015625,0.2,-0.018071882784715852,0.043407440185546875,0.008250913,0.0003,0.016419578343629837,-1.9069396182894707
7,531,14336,-0.05244225531914892,300.0,26,60,0.04243012339575216,0.07822265625,0.2,-0.01888768118515145,0.2088649868965149,0.008369448,0.0003,-0.020972389727830887,-1.8896912299096584
8,549,16384,0.3013355185185185,300.0,29,70,0.03305866682785563,0.093115234375,0.2,-0.021280819742241875,-0.0005701780319213867,0.009983433,0.0003,-0.021731162443757057,-1.8727087639272213
9,574,18432,0.3092483278688524,300.0,32,80,0.05027242295327596,0.097021484375,0.2,-0.022996772975602653,0.13387709856033325,0.009464677,0.0003,-0.04908716678619385,-1.8671465516090393
10,583,20480,0.4204442794117647,300.0,35,90,0.059767273650504646,0.0919921875,0.2,-0.021429294595145622,0.09492999315261841,0.009479953,0.0003,-0.014929162338376045,-1.8581526815891265
11,591,22528,0.41342553333333326,300.0,38,100,0.0805333090131171,0.094384765625,0.2,-0.021287390642100945,0.11477196216583252,0.009299302,0.0003,-0.0370355024933815,-1.8462100580334664
12,610,24576,0.24582454320987648,300.0,40,110,0.02119423903641291,0.091748046875,0.2,-0.02334768304717727,0.03555041551589966,0.009493663,0.0003,-0.0267342496663332,-1.8297817479819058
13,629,26624,0.3612286704545454,300.0,42,120,0.0489550661528483,0.10224609375,0.2,-0.025558745265880135,-0.09307610988616943,0.010017037,0.0003,-0.043645963072776794,-1.8271911434829236
14,638,28672,0.14884561052631579,300.0,44,130,0.05005335987079888,0.1109375,0.2,-0.02449472345178947,-0.005132317543029785,0.010979759,0.0003,-0.026606790721416473,-1.8046298757195474
15,652,30720,-0.002363800000000058,300.0,47,140,0.05260354459169321,0.093505859375,0.2,-0.023647125469869933,-0.011779189109802246,0.009747317,0.0003,-0.03829650208353996,-1.7686652157455682
16,665,32768,0.029571709999999994,300.0,49,150,0.09717089119367302,0.12197265625,0.2,-0.02615578133845702,0.002705514430999756,0.010655829,0.0003,-0.008601076900959015,-1.7735251300036907
17,675,34816,0.18397844,300.0,51,160,0.03575791994808242,0.108740234375,0.2,-0.027087869518436492,0.04204821586608887,0.011922509,0.0003,-0.04732136055827141,-1.7749175798147916
18,681,36864,0.09567497999999999,300.0,54,170,0.0366249333426822,0.134521484375,0.2,-0.027460506904753858,-0.036193132400512695,0.013253816,0.0003,-0.07111543416976929,-1.7679891396313905
19,691,38912,0.10958686999999996,300.0,56,180,0.03463269470958039,0.139453125,0.2,-0.028444048810342792,-0.0422825813293457,0.012425169,0.0003,-0.04061830788850784,-1.7539710652083158
20,701,40960,-0.0058763500000000215,300.0,58,190,0.060045636410359295,0.13984375,0.2,-0.02839788424607832,0.02385002374649048,0.01184787,0.0003,-0.03121224045753479,-1.7522599972784518
21,709,43008,-0.06888713999999997,300.0,60,200,0.04709926212672144,0.146484375,0.2,-0.02991390802490059,0.025756478309631348,0.012711455,0.0003,-0.04623464122414589,-1.7498228318989277
22,715,45056,-0.13969866,300.0,62,210,0.06681207759538665,0.10908203125,0.2,-0.028269509808160363,0.020852386951446533,0.010488188,0.0003,-0.02303454279899597,-1.7280500147491693
23,719,47104,-0.27089051000000003,300.0,65,220,0.07593833995051683,0.12763671875,0.2,-0.029426598142890725,-0.01126551628112793,0.012182612,0.0003,-0.013968553394079208,-1.7023718424141407
24,715,49152,-0.33336106,300.0,68,230,0.03673716364428401,0.1271484375,0.2,-0.02979477060143836,0.01674973964691162,0.011544788,0.0003,-0.04915133863687515,-1.690406220406294
25,720,51200,-0.49344108999999997,300.0,71,240,0.020794958563055844,0.1455078125,0.2,-0.030230975977610798,0.04199248552322388,0.013425169,0.0003,-0.011041555553674698,-1.6819611020386218
26,726,53248,-0.47552024999999987,300.0,73,250,0.053226901922607796,0.112109375,0.2,-0.02596038666961249,0.007772326469421387,0.010144587,0.0003,-0.021541420370340347,-1.6749386742711068
27,732,55296,-0.44182291000000007,300.0,75,260,0.05070299904327839,0.139990234375,0.2,-0.030579787940951064,0.05495750904083252,0.012779998,0.0003,-0.049812354147434235,-1.6512412019073963
28,735,57344,-0.47947064000000006,300.0,77,270,0.0507271068636328,0.14833984375,0.2,-0.028303938679164274,0.14026397466659546,0.01278863,0.0003,-0.05675926432013512,-1.64846281260252
29,742,59392,-0.4896297100000001,300.0,79,280,0.041628318943548945,0.135205078125,0.2,-0.03032268967072014,0.0760267972946167,0.012376897,0.0003,-0.06560508161783218,-1.6420933794230224
