timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,1.1174671399651879,0.4334042350985578,1.0,0.6575
100000,-0.11672057999999971,0.6844816631400886,0.00041875827345831505,1.0,0.02
200000,-0.2626320100000002,0.5981004687869377,-0.08596243607969228,1.0,0.01
