timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,-0.11439136847793761,-0.017551761296877907,1.0,0.1775
100000,0.46841657000000025,-0.02937387005374804,0.06746573712731176,1.0,0.045
200000,-0.42384777000000023,-0.12300341787276631,-0.026163810691706573,1.0,0.0025
300000,-0.31984564999999987,-0.09022987642694685,0.0066097307541129165,1.0,0.0025
400000,-1.3887992500000002,-0.02307759856477439,0.0737620086162854,1.0,0.005
500000,-2.7577046999999992,-0.1269818988842538,-0.03014229170319402,1.0,0.01
600000,-1.22524339,-0.08702880006258074,0.009810807118479122,1.0,0.01
700000,-1.9952606,-0.025314923489140318,0.07152468369191942,1.0,0.02
800000,-1.38149753,-0.11352405995275466,-0.016684452771694978,1.0,0.005
900000,0.8597481600000001,-0.12771995122654833,-0.030880344045488544,1.0,0.005
1000000,-1.4261762499999997,-0.03848351702776103,0.0583560901532987,1.0,0.0
1100000,-0.86573617,-0.0069028735497218465,0.08993673363133797,1.0,0.0075
1200000,-2.63548855,-0.020846064373054533,0.07599354280800527,1.0,0.0025
1300000,-1.8178586699999997,-0.05104528818432234,0.04579431899673745,1.0,0.005
1400000,-0.1999278399999998,-0.10108073930727293,-0.004241132126213083,1.0,0.0075
1500000,0.5459931099999998,-0.2006897168752588,-0.10385010969419894,1.0,0.0075
1600000,-1.9455368199999996,-0.13741031259777214,-0.04057070541671237,1.0,0.0
1700000,0.2719940600000001,-0.160743480854917,-0.06390387367385716,1.0,0.0025
1800000,0.6818231000000005,-0.08401898613971362,0.012820621041346332,1.0,0.0
1900000,-0.6354540399999999,-0.07946800102450417,0.017371606156555676,1.0,0.0025
2000000,-1.28264735,-0.12122707016305263,-0.02438746298199276,1.0,0.005
2100000,-0.9326056599999998,-0.10842869575901026,-0.011589088577950556,1.0,0.005
2200000,-1.3901840300000003,-0.11910632011868777,-0.022266712937627914,1.0,0.0075
2300000,1.3535430199999998,-0.1277658032110452,-0.030926196029985423,1.0,0.0025
2400000,0.21227231000000008,-0.02435278435989657,0.07248682282116314,1.0,0.0025
2500000,1.5262399200000005,0.046930995453491865,0.14377060263455166,1.0,0.005
2600000,-0.9893920000000002,-0.024343658616987566,0.07249594856407217,1.0,0.0025
2700000,-1.79361217,-0.06258460694408566,0.03425500023697416,1.0,0.0025
2800000,-1.3896187399999997,-0.11468052945324318,-0.01784092227218347,1.0,0.0025
2900000,2.60141559,-0.22644814016151016,-0.1296085329804503,1.0,0.0
3000000,-1.4977129199999997,-0.1416891251837777,-0.044849518002717866,1.0,0.0
3100000,0.04207129000000014,-0.1153966829078285,-0.018557075726768745,1.0,0.005
3200000,-0.6940569300000001,-0.08597556091255978,0.010864046268499985,1.0,0.0025
3300000,-1.7308301199999996,-0.12350152153268225,-0.026661914351622528,1.0,0.0025
3400000,-1.0092589900000004,-0.08722514539843312,0.009614461782626624,1.0,0.0025
3500000,1.5354811399999997,-0.09740112319921983,-0.0005615160181600576,1.0,0.0025
3600000,-1.74311613,-0.05108761932640743,0.04575198785465218,1.0,0.0025
3700000,-1.8516499299999998,-0.032969171558839126,0.06387043562222056,1.0,0.0025
3800000,0.27645665999999985,-0.0014278223848106287,0.0954117847962491,1.0,0.0
3900000,1.9723381999999998,-0.06424564778911263,0.03259395939194727,1.0,0.005
4000000,-1.7037750200000006,-0.05262310901978681,0.044216498161273016,1.0,0.0025
4100000,-2.1785952299999995,-0.07206234553280004,0.024777261648259802,1.0,0.0025
4200000,1.4049242800000001,-0.08655807367094936,0.010281533510110302,1.0,0.01
4300000,-0.31991214999999995,-0.07683520437394814,0.020004402807111667,1.0,0.005
4400000,1.2211247099999998,-0.014471551541430046,0.08236805563962984,1.0,0.0025
4500000,1.0864637500000007,-0.04123238003700253,0.05560722714405721,1.0,0.0025
4600000,-1.6396935200000005,0.00733782340532537,0.10417743058638526,1.0,0.0025
4700000,1.13329444,0.009587478050691942,0.10642708523175179,1.0,0.0
4800000,-0.7531283400000003,-0.0036756195263928683,0.0931639876546668,1.0,0.0025
4900000,-5.423912049999999,-0.026616878186381178,0.07022272899467857,1.0,0.0
5000000,-2.16747328,-0.01964479466636659,0.07719481251469325,1.0,0.0025
5100000,0.14683403999999997,-0.06054426390472289,0.03629534327633694,1.0,0.0025
5200000,-1.19001929,-0.07429776938126789,0.0225418377997918,1.0,0.0
5300000,-1.8389952399999998,-0.05795160591229239,0.03888800126876741,1.0,0.0025
5400000,1.8709654099999997,-0.05190047361450475,0.04493913356655521,1.0,0.0025
5500000,0.8590352899999999,-0.0693480014433129,0.02749160573774688,1.0,0.0025
5600000,-1.2765684700000002,-0.07011342315566653,0.026726184025393226,1.0,0.005
5700000,0.0029178100000001274,-0.0985622704899635,-0.001722663308903778,1.0,0.01
5800000,-3.3620340600000005,-0.04174433955719145,0.05509526762386839,1.0,0.02
5900000,1.10855985,-0.02602630291833714,0.07081330426272266,1.0,0.0775
6000000,0.6324006200000004,-0.024107385911040922,0.07273222127001894,1.0,0.0075
6100000,-2.1416398300000004,-0.05974964818158675,0.037089958999472976,1.0,0.005
6200000,-2.2229877399999993,-0.030888108227175498,0.06595149895388425,1.0,0.0075
6300000,-0.8146186499999999,-0.014493012857843492,0.08234659432321631,1.0,0.005
6400000,-2.00814709,-0.07750135748041483,0.019338249700644964,1.0,0.005
6500000,0.2536051100000002,-0.026007930373626618,0.07083167680743313,1.0,0.005
6600000,-0.09965381000000006,-0.037002420098589395,0.059837187082470426,1.0,0.0075
6700000,0.12592434000000005,-0.015386979779163444,0.08145262740189628,1.0,0.01
6800000,-1.39525352,-0.04557886126625526,0.051260745914804555,1.0,0.0125
6900000,-1.7900244699999996,-0.06055708330725196,0.03628252387380777,1.0,0.01
7000000,1.0881450800000003,-0.1126582449960485,-0.015818637814988684,1.0,0.0075
7100000,0.03807142000000031,-0.10565396103852784,-0.008814353857468068,1.0,0.0025
7200000,0.16289878000000008,0.01723611561720638,0.11407572279826611,1.0,0.01
7300000,-0.7107236299999997,0.0013755915181764067,0.09821519869923616,1.0,0.0025
7400000,0.029749919999999826,-0.030881711886027608,0.0659578952950322,1.0,0.005
7500000,-0.7801848200000001,-0.05450356757049184,0.04233603961056792,1.0,0.005
7600000,-2.18015596,-0.09096527299404206,0.005874334187017731,1.0,0.0075
7700000,1.5712601000000002,-0.033145083706364105,0.06369452347469583,1.0,0.0075
7800000,-0.5393317700000001,0.005439824139268748,0.10227943132032856,1.0,0.0025
7900000,1.1583395699999997,0.035486893410029606,0.1323265005910894,1.0,0.0
8000000,-1.02038143,-0.0393822818132193,0.05745732536784031,1.0,0.0125
8100000,1.4431734900000002,-0.08261875760329014,0.014220849577769644,1.0,0.0175
8200000,-1.1015119199999999,-0.03199620344838548,0.06484340373267437,1.0,0.0025
8300000,-0.6279936500000001,-0.017841645214930146,0.07899796196612954,1.0,0.0
8400000,0.42763373999999943,-0.14067085172703056,-0.043831244545970705,1.0,0.0075
8500000,-0.6371995500000001,-0.03967737152571637,0.057162235655343493,1.0,0.0
8600000,-0.7937107799999995,-0.0848614728889559,0.011978134292103792,1.0,0.005
8700000,-0.5051245199999996,-0.10310876423951078,-0.006269157058450903,1.0,0.005
8800000,0.96382392,-0.04263495908714555,0.05420464809391417,1.0,0.0075
8900000,-0.40073601999999975,-0.04640588870979002,0.050433718471269824,1.0,0.005
9000000,-0.6444143200000002,-0.08078926351076218,0.016050343670297628,1.0,0.005
