time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,train/loss,train/learning_rate,train/n_updates
41,-0.028874659999999882,2321,300.0,0.8206792452830187,96000,320,0.010061928071081638,0.0001,559
41,0.08704663000000014,2322,300.0,0.8184377358490567,97200,324,0.00918729230761528,0.0001,571
42,-0.0870473799999998,2321,300.0,0.8161962264150943,98400,328,0.008126330561935902,0.0001,583
42,0.3011500500000001,2323,300.0,0.8139547169811323,99600,332,0.009788919240236282,0.0001,595
92,0.28784790999999993,1093,300.0,0.8117132075471698,100800,336,0.009480629116296768,0.0001,607
92,0.51334774,1100,300.0,0.8094716981132074,102000,340,0.008406008593738079,0.0001,619
93,1.14942009,1107,300.0,0.8072301886792453,103200,344,0.007985437288880348,0.0001,631
93,1.1453354100000002,1113,300.0,0.804988679245283,104400,348,0.006010905839502811,0.0001,643
94,1.4287929300000002,1120,300.0,0.8027471698113209,105600,352,0.007570971734821796,0.0001,655
94,1.2428559199999996,1126,300.0,0.8005056603773585,106800,356,0.007652636151760817,0.0001,667
95,1.30923504,1132,300.0,0.7982641509433961,108000,360,0.009527965448796749,0.0001,679
95,0.9522383599999997,1139,300.0,0.796022641509434,109200,364,0.010477591305971146,0.0001,691
96,1.0832571500000001,1143,300.0,0.7937811320754716,110400,368,0.009812403470277786,0.0001,703
97,1.2051252,1149,300.0,0.7915396226415096,111600,372,0.008225725032389164,0.0001,715
97,1.13855516,1155,300.0,0.7892981132075472,112800,376,0.007712976075708866,0.0001,727
98,0.80589504,1161,300.0,0.7870566037735847,114000,380,0.0071975067257881165,0.0001,739
98,1.18014755,1167,300.0,0.7848150943396227,115200,384,0.006408439017832279,0.0001,751
99,1.08955543,1173,300.0,0.7825735849056603,116400,388,0.006131097674369812,0.0001,763
99,1.2732898299999997,1179,300.0,0.7803320754716982,117600,392,0.0065369452349841595,0.0001,775
100,1.75527324,1184,300.0,0.7780905660377359,118800,396,0.010466985404491425,0.0001,787
100,2.3002964899999996,1189,300.0,0.7758490566037735,120000,400,0.007761865854263306,0.0001,799
101,2.56280053,1195,300.0,0.7736075471698114,121200,404,0.0055548143573105335,0.0001,811
