rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
-3.820759,1200,349,300.0,4,0.9977584905660376,3,,,
-2.177063875,2400,621,300.0,8,0.9955169811320755,3,,,
-1.5384838333333333,3600,835,300.0,12,0.9932754716981131,4,,,
1.436060125,4800,1007,300.0,16,0.9910339622641511,4,,,
1.06198055,6000,1155,300.0,20,0.9887924528301887,5,,,
0.8999117499999998,7200,1280,300.0,24,0.9865509433962263,5,,,
1.1440936071428567,8400,1384,300.0,28,0.9843094339622642,6,,,
0.506871625,9600,1461,300.0,32,0.9820679245283018,6,,,
-0.19324722222222215,10800,1543,300.0,36,0.9798264150943398,6,,,
0.1190478500000002,12000,1614,300.0,40,0.9775849056603774,7,,,
-0.6794904545454544,13200,1676,300.0,44,0.9753433962264149,7,,,
-1.2657586875000002,14400,1732,300.0,48,0.9731018867924529,8,,,
-0.9295649423076924,15600,1782,300.0,52,0.9708603773584905,8,,,
-0.797946625,16800,1829,300.0,56,0.9686188679245284,9,,,
-0.8447264833333333,18000,1871,300.0,60,0.966377358490566,9,,,
-1.048955375,19200,1910,300.0,64,0.9641358490566035,10,,,
-1.1001250147058823,20400,1944,300.0,68,0.9618943396226416,10,,,
-1.270177736111111,21600,1976,300.0,72,0.9596528301886791,10,,,
-1.6255205789473686,22800,2006,300.0,76,0.9574113207547171,11,,,
-1.436900025,24000,2033,300.0,80,0.9551698113207547,11,,,
-1.4330569404761904,25200,2058,300.0,84,0.9529283018867927,12,,,
-1.4570119204545455,26400,2081,300.0,88,0.9506867924528303,12,,,
-1.3185179130434783,27600,2104,300.0,92,0.9484452830188678,13,,,
-1.3470723020833333,28800,2124,300.0,96,0.9462037735849058,13,,,
-1.13066213,30000,2144,300.0,100,0.9439622641509433,13,,,
-1.0583177599999996,31200,2163,300.0,104,0.9417207547169814,14,,,
-0.73915269,32400,2177,300.0,108,0.9394792452830188,14,,,
-0.9481790600000002,33600,2191,300.0,112,0.9372377358490565,15,,,
-1.4985325400000002,34800,2207,300.0,116,0.9349962264150945,15,,,
-1.29799351,36000,2215,300.0,120,0.932754716981132,16,,,
-1.19385391,37200,2223,300.0,124,0.93051320754717,16,,,
-1.0845954500000001,38400,2235,300.0,128,0.9282716981132075,17,,,
-1.08203613,39600,2248,300.0,132,0.9260301886792451,17,,,
-0.7958921900000001,40800,2254,300.0,136,0.9237886792452831,18,7,0.007103933021426201,0.0001
-0.7822063600000001,42000,2259,300.0,140,0.9215471698113207,18,19,0.005814379081130028,0.0001
-0.68382483,43200,2264,300.0,144,0.9193056603773587,19,31,0.006644318345934153,0.0001
-0.5246457000000002,44400,2271,300.0,148,0.9170641509433962,19,43,0.00589792151004076,0.0001
-0.7167347000000001,45600,2276,300.0,152,0.9148226415094338,20,55,0.005463688634335995,0.0001
-0.96614641,46800,2281,300.0,156,0.9125811320754718,20,67,0.005579057615250349,0.0001
-1.2406957100000005,48000,2274,300.0,160,0.9103396226415094,21,79,0.005293864756822586,0.0001
-0.9768102800000004,49200,2277,300.0,164,0.9080981132075473,21,91,0.004988978151232004,0.0001
-1.30175016,50400,2283,300.0,168,0.9058566037735849,22,103,0.004924495704472065,0.0001
-1.0526376000000002,51600,2287,300.0,172,0.9036150943396225,22,115,0.003641456365585327,0.0001
-0.56689442,52800,2289,300.0,176,0.9013735849056604,23,127,0.0043576546013355255,0.0001
-0.6372441699999998,54000,2293,300.0,180,0.899132075471698,23,139,0.00340181402862072,0.0001
-0.72021493,55200,2297,300.0,184,0.896890566037736,24,151,0.003686309792101383,0.0001
-0.7775073200000001,56400,2300,300.0,188,0.8946490566037736,24,163,0.004424483515322208,0.0001
-0.84509782,57600,2301,300.0,192,0.8924075471698112,25,175,0.0037150075659155846,0.0001
-0.6966341600000001,58800,2303,300.0,196,0.8901660377358491,25,187,0.003699346911162138,0.0001
-0.4614305099999999,60000,2304,300.0,200,0.8879245283018867,26,199,0.0036035047378391027,0.0001
-0.42710483999999993,61200,2306,300.0,204,0.8856830188679247,26,211,0.004439679905772209,0.0001
-0.8621293700000001,62400,2310,300.0,208,0.8834415094339623,27,223,0.004073388874530792,0.0001
-0.42523061000000006,63600,2311,300.0,212,0.8811999999999998,27,235,0.005177173297852278,0.0001
-0.19978107,64800,2313,300.0,216,0.8789584905660378,28,247,0.004113547969609499,0.0001
-0.21308874,66000,2316,300.0,220,0.8767169811320754,28,259,0.0036709955893456936,0.0001
-0.61027008,67200,2319,300.0,224,0.8744754716981133,28,271,0.004618141800165176,0.0001
-0.5675312299999998,68400,2321,300.0,228,0.872233962264151,29,283,0.004258526023477316,0.0001
-0.34093113999999985,69600,2324,300.0,232,0.8699924528301889,29,295,0.004581584595143795,0.0001
-0.18738874999999997,70800,2326,300.0,236,0.8677509433962265,30,307,0.0046796128153800964,0.0001
0.032456639999999995,72000,2329,300.0,240,0.865509433962264,30,319,0.004427737556397915,0.0001
0.32466846,73200,2331,300.0,244,0.863267924528302,31,331,0.004623552784323692,0.0001
0.73896203,74400,2333,300.0,248,0.8610264150943396,31,343,0.0051932064816355705,0.0001
0.7823934999999996,75600,2335,300.0,252,0.8587849056603771,32,355,0.005127470009028912,0.0001
1.0709595199999997,76800,2337,300.0,256,0.8565433962264152,32,367,0.0034849264193326235,0.0001
1.3878757300000002,78000,2338,300.0,260,0.8543018867924528,33,379,0.005628751125186682,0.0001
1.2513796700000002,79200,2339,300.0,264,0.8520603773584907,33,391,0.004370659124106169,0.0001
1.6923492699999998,80400,2340,300.0,268,0.8498188679245282,34,403,0.004525830969214439,0.0001
1.7653461800000003,81600,2333,300.0,272,0.8475773584905663,34,415,0.004776918329298496,0.0001
1.5563906800000005,82800,2329,300.0,276,0.8453358490566039,35,427,0.0038987910374999046,0.0001
1.4957883099999998,84000,2329,300.0,280,0.8430943396226414,36,439,0.0032533660996705294,0.0001
1.62378018,85200,2325,300.0,284,0.8408528301886794,36,451,0.005079519934952259,0.0001
2.04471847,86400,2324,300.0,288,0.8386113207547169,37,463,0.004129763226956129,0.0001
2.0799683799999995,87600,2325,300.0,292,0.8363698113207549,37,475,0.0030352817848324776,0.0001
2.01435189,88800,2325,300.0,296,0.8341283018867924,38,487,0.00385622913017869,0.0001
1.3323660000000002,90000,2327,300.0,300,0.83188679245283,38,499,0.004963583778589964,0.0001
1.1406511799999999,91200,2328,300.0,304,0.8296452830188681,39,511,0.003721361281350255,0.0001
0.9585344299999999,92400,2328,300.0,308,0.8274037735849056,39,523,0.004535200074315071,0.0001
0.5023027299999999,93600,2328,300.0,312,0.8251622641509436,40,535,0.003599280258640647,0.0001
0.5641259799999999,94800,2322,300.0,316,0.8229207547169811,40,547,0.004751733969897032,0.0001
0.4029203899999998,96000,2323,300.0,320,0.8206792452830187,41,559,0.0032696546986699104,0.0001
0.6468414499999996,97200,2323,300.0,324,0.8184377358490567,41,571,0.005076501052826643,0.0001
0.42781954999999966,98400,2322,300.0,328,0.8161962264150943,42,583,0.004425234626978636,0.0001
0.4652492599999998,99600,2323,300.0,332,0.8139547169811323,42,595,0.005213609896600246,0.0001
0.4602908799999998,100800,1093,300.0,336,0.8117132075471698,92,607,0.003695449326187372,0.0001
0.27352287999999986,102000,1100,300.0,340,0.8094716981132074,92,619,0.004071604926139116,0.0001
0.0478807899999999,103200,1106,300.0,344,0.8072301886792453,93,631,0.004852740094065666,0.0001
-0.06768927000000001,104400,1113,300.0,348,0.804988679245283,93,643,0.0036164293996989727,0.0001
-0.08451765999999998,105600,1120,300.0,352,0.8027471698113209,94,655,0.0036185900680720806,0.0001
-0.10607290999999992,106800,1126,300.0,356,0.8005056603773585,94,667,0.003734555561095476,0.0001
-0.20632950999999985,108000,1132,300.0,360,0.7982641509433961,95,679,0.005944907199591398,0.0001
-0.09286654999999996,109200,1139,300.0,364,0.796022641509434,95,691,0.0050141653046011925,0.0001
-0.19356871000000006,110400,1143,300.0,368,0.7937811320754716,96,703,0.0050933267921209335,0.0001
-0.29650263000000004,111600,1149,300.0,372,0.7915396226415096,97,715,0.004035259131342173,0.0001
-0.10130579999999999,112800,1155,300.0,376,0.7892981132075472,97,727,0.004538132809102535,0.0001
0.20495438000000005,114000,1161,300.0,380,0.7870566037735847,98,739,0.004228132776916027,0.0001
0.11623370000000001,115200,1167,300.0,384,0.7848150943396227,98,751,0.0053010303527116776,0.0001
0.10415945000000008,116400,1173,300.0,388,0.7825735849056603,99,763,0.003521815873682499,0.0001
-0.26634227000000005,117600,1179,300.0,392,0.7803320754716982,99,775,0.004956970456987619,0.0001
