rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate
-2.2366243333333338,2048,300.0,455,1,4,,,,,,,,,,
-2.317367384615385,4096,300.0,619,2,6,-0.012593454259331338,0.19786027073860168,0.4081841087900102,0.2,-0.21481013298034668,0.011965666,0.1046875,10,-1.9361362352967262,0.0003
-0.9672636000000001,6144,300.0,719,3,8,-0.00947104681399651,0.13133448362350464,0.33518331763334575,0.2,-0.04516303539276123,0.0060811806,0.038037109375,20,-1.9359406489878892,0.0003
-0.858924074074074,8192,300.0,783,4,10,-0.014916042545519304,0.2482241690158844,0.935819165315479,0.2,-0.0027990341186523438,0.008510628,0.064453125,30,-1.9192722514271736,0.0003
-0.7137322941176472,10240,300.0,822,5,12,-0.017349194375856313,0.2729281187057495,0.6617843201383948,0.2,-0.0014605522155761719,0.01038175,0.08828125,40,-1.902578793093562,0.0003
-0.3334638250000001,12288,300.0,847,6,14,-0.018783108872594313,0.3694242537021637,0.7309547575190664,0.2,-0.001562356948852539,0.0066038994,0.057568359375,50,-1.9065200854092836,0.0003
-0.22651402127659592,14336,300.0,865,7,16,-0.021441455068998038,0.045496098697185516,0.21575764855369925,0.2,-0.16797447204589844,0.007899099,0.076904296875,60,-1.8780290048569441,0.0003
-0.35971574074074086,16384,300.0,889,8,18,-0.022214135449030437,0.1416521966457367,0.39251761892810466,0.2,0.019314289093017578,0.00828762,0.0876953125,70,-1.8798163905739784,0.0003
-0.32455398360655746,18432,300.0,906,9,20,-0.02348087669815868,0.11567095667123795,0.30752001581713556,0.2,-0.1350494623184204,0.010947654,0.086767578125,80,-1.8627298951148987,0.0003
-0.5146171764705884,20480,300.0,920,10,22,-0.025483729320694693,0.19906845688819885,0.38045891900546847,0.2,0.008830249309539795,0.010537869,0.093603515625,90,-1.861822572350502,0.0003
0.1802081466666667,22528,300.0,930,11,24,-0.024451994043192826,0.14049898087978363,0.37952613583765926,0.2,0.016680598258972168,0.0090815,0.0974609375,100,-1.8506787806749343,0.0003
0.08599054320987655,24576,300.0,931,12,26,-0.028377251187339424,0.1290026605129242,0.40545883812010286,0.2,0.07577592134475708,0.0102665555,0.101904296875,110,-1.843050619214773,0.0003
0.518852125,26624,300.0,937,13,28,-0.02812191089906264,0.19520823657512665,0.5341711162589491,0.2,0.020969152450561523,0.0103284195,0.09765625,120,-1.8360789090394973,0.0003
