rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss
300.0,-1.5198785,1,221,2048,9,,,,,,,,,,
300.0,-1.5274755384615384,2,325,4096,12,0.0003,10,-1.9360810659825802,0.090966796875,0.011243001,0.03421443700790405,0.11203864053823054,-3.0851120948791504,0.2,-0.011736672118422576
300.0,-0.9913032999999999,3,375,6144,16,0.0003,20,-1.9167987201362848,0.08876953125,0.00758091,-0.01866118609905243,0.04865342687116936,-0.31085002422332764,0.2,-0.01662205608736258
300.0,0.17982781481481477,4,431,8192,19,0.0003,30,-1.9197824608534575,0.090234375,0.008266611,0.00110548734664917,0.10264636981301009,-0.0852285623550415,0.2,-0.016980628931196406
300.0,0.07509800000000003,5,478,10240,21,0.0003,40,-1.910443351045251,0.078955078125,0.008900354,0.002178370952606201,0.06372755956253968,-0.008146405220031738,0.2,-0.01820007220376283
300.0,0.36000742499999994,6,497,12288,24,0.0003,50,-1.892351807281375,0.080419921875,0.008555934,-0.0370572991669178,0.06536661204881966,-0.0238950252532959,0.2,-0.019590024786884895
300.0,0.03703406382978721,7,527,14336,27,0.0003,60,-1.876840079203248,0.08408203125,0.009833041,-0.03814318776130676,0.05275449670734815,-0.05132317543029785,0.2,-0.020052692317403854
300.0,-0.16406087037037043,8,543,16384,30,0.0003,70,-1.8579759757965804,0.09404296875,0.010447364,-0.03282703086733818,0.053096921899123115,-0.00020885467529296875,0.2,-0.02253578968520742
300.0,0.005654540983606532,9,566,18432,32,0.0003,80,-1.8584248784929513,0.111572265625,0.0111511815,-0.04858603700995445,0.029995291258092038,-0.023978233337402344,0.2,-0.02384532633150229
300.0,0.0681121764705882,10,574,20480,35,0.0003,90,-1.851378282532096,0.124169921875,0.010637885,-0.03513362631201744,0.03882270842441358,0.031796276569366455,0.2,-0.026375390324392355
300.0,0.03664942666666662,11,584,22528,38,0.0003,100,-1.8409376367926598,0.082666015625,0.008495786,-0.04518579691648483,0.0434963412291836,0.08222460746765137,0.2,-0.022567835132940674
300.0,-0.05937158024691363,12,604,24576,40,0.0003,110,-1.8289699748158454,0.110546875,0.010127063,-0.03992839157581329,0.04196728261304088,-0.035681962966918945,0.2,-0.026368214681860992
300.0,-0.05865737500000004,13,621,26624,42,0.0003,120,-1.816552558168769,0.08330078125,0.007651146,-0.045104995369911194,0.05401288322755136,-0.05095255374908447,0.2,-0.020226600753085223
300.0,-0.22185865263157897,14,631,28672,45,0.0003,130,-1.8008891947567462,0.119775390625,0.011255395,-0.036571260541677475,0.03558673736988567,-0.11609220504760742,0.2,-0.02809612893033773
300.0,-0.10853542000000006,15,643,30720,47,0.0003,140,-1.784779665246606,0.115966796875,0.010496045,-0.03694794327020645,0.05267325409222394,-0.022678256034851074,0.2,-0.025850969152816105
300.0,-0.005844600000000037,16,654,32768,50,0.0003,150,-1.7535137102007865,0.108544921875,0.012335462,-0.05439089983701706,0.024078900989843534,-0.1165992021560669,0.2,-0.02653388442704454
