timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,1.7150516146646917,1.1430556545136579,1.0,0.46
100000,-2.4637529700000003,0.5975221539604288,0.02552619380939477,1.0,0.0125
200000,1.23777138,0.4809943978401179,-0.09100156231091627,1.0,0.0025
300000,0.33934890999999984,0.4938001373462261,-0.07819582280480813,1.0,0.0025
400000,1.55704429,0.5552685799525556,-0.016727380198478557,1.0,0.0025
500000,1.69042872,0.5699035816663764,-0.002092378484657762,1.0,0.005
600000,2.6936074199999998,0.5915263517664151,0.019530391615380904,1.0,0.0075
700000,-1.85463725,0.5753127520574356,0.003316791906401493,1.0,0.005
800000,2.025841620000001,0.7556258244198011,0.18362986426876698,1.0,0.0025
900000,0.96514812,0.5281554388212895,-0.04384052132974478,1.0,0.0025
1000000,2.459489,0.6184892157344639,0.046493255583429496,1.0,0.0075
1100000,-1.4538693700000005,0.478792033118448,-0.09320392703258641,1.0,0.005
1200000,-3.09817903,0.5059188639970639,-0.06607709615397037,1.0,0.0025
1300000,0.59644507,0.5110935543092251,-0.06090240584180906,1.0,0.0025
1400000,1.6479685200000005,0.5445004679940044,-0.027495492157029608,1.0,0.0075
1500000,0.0525012999999998,0.46304754065026915,-0.10894841950076505,1.0,0.0025
1600000,3.20872905,0.4166260672586592,-0.15536989289237502,1.0,0.005
1700000,-1.3657930599999994,0.5029903493209323,-0.06900561083010194,1.0,0.0075
1800000,-3.285535360000001,0.46469362364751293,-0.1073023365035214,1.0,0.005
1900000,3.1153361300000006,0.4988505049847173,-0.07314545516631694,1.0,0.005
2000000,0.19109441000000005,0.5796101460753214,0.007614185924287198,1.0,0.0075
2000896,-0.5068474500000004,0.6207409002410794,0.048744940090045395,1.0,0.01
