timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,-0.10943231085897123,0.23616138256490146,1.0,0.0
100000,-2.4625644899999997,-0.2549940258829617,0.09059966754091081,1.0,0.0
200000,-1.25457759,-0.028901796124844593,0.31669189729902775,1.0,0.31
300000,3.34215863,-0.0036867876114762767,0.3419069058123964,1.0,0.205
400000,-3.4761145199999985,-0.3246670415106277,0.020926651913244818,1.0,0.16
500000,0.4011703599999998,-0.2658304246739409,0.07976326874993145,1.0,0.165
600000,2.19829733,0.00561226690994907,0.3512059603338216,1.0,0.445
700000,-0.05799151000000073,0.013534009483817683,0.3591277029076904,1.0,0.495
800000,1.0424093099999998,1.8240681886171775,2.16966188204105,1.0,0.9175
900000,-3.6264077600000006,0.10029565055940068,0.44588934398327335,1.0,0.56
1000000,-8.0867805,1.0815360319152245,1.427129725339097,1.0,0.8075
1100000,-4.73830381,1.320177450269815,1.6657711436936875,1.0,0.8425
1200000,-1.2723121499999996,1.2019645125198983,1.547558205943771,1.0,0.8525
1300000,-7.128855420000001,0.47907357955746904,0.8246672729813415,1.0,0.4925
1400000,-0.4929162799999999,0.2814158665990196,0.6270095600228927,1.0,0.4525
1500000,-4.679863360000001,0.18750979386458957,0.5331034872884625,1.0,0.2975
1600000,-1.1091822300000003,0.09004137102089445,0.43563506444476713,1.0,0.19
1700000,-2.6106804800000005,0.041756860500455344,0.3873505539243281,1.0,0.2325
1800000,-1.6715158099999996,0.05375371457591108,0.39934740799978385,1.0,0.225
1900000,-0.8190873100000005,0.04814430163779846,0.3937379950616712,1.0,0.17
2000000,1.3641093899999999,0.051434716551550894,0.3970284099754236,1.0,0.165
2100000,0.24735536000000008,0.047710089295750394,0.3933037827196228,1.0,0.135
2200000,-6.946470950000002,0.06885102108294358,0.414444714506816,1.0,0.1525
2300000,-2.34707736,-0.27229677292620386,0.07329692049766864,1.0,0.0775
2400000,-1.3265831600000002,0.0007744884452353062,0.34636818186910806,1.0,0.0225
2500000,-0.6755049600000005,-0.08218313278926334,0.26341056063460955,1.0,0.0025
2600000,0.5339200900000007,-0.2230570894680396,0.12253660395583306,1.0,0.0
2700000,3.7370081499999994,-0.13115119741465606,0.21444249600921644,1.0,0.0
2800000,2.6129171799999993,-0.10739503046689429,0.23819866295697836,1.0,0.0
2900000,-0.9030345499999997,-0.2016527934003466,0.143940900023526,1.0,0.0
3000000,3.68639122,-0.09818404695747723,0.24740964646639532,1.0,0.0
3100000,1.7847341399999999,-0.1042650863758585,0.2413286070480141,1.0,0.0
3200000,-0.7030779000000001,-0.11825783500246263,0.22733585842141005,1.0,0.0
3300000,2.541776,-0.08030495976207278,0.2652887336618,1.0,0.0025
3400000,-3.00997864,-0.12160702402919377,0.2239866693946788,1.0,0.0025
3500000,-1.9384932000000006,-0.11131075384079668,0.234282939583076,1.0,0.0025
3600000,-0.12226535000000027,-0.14733400261157223,0.19825969081230033,1.0,0.0
3700000,-1.4500012600000003,-0.10914431198073608,0.23644938144313649,1.0,0.0
3800000,-3.16612067,-0.10669840858375522,0.23889528484011724,1.0,0.0
3900000,-1.3925303999999996,-0.10852405930823565,0.23706963411563717,1.0,0.0
4000000,-4.19694957,-0.15053479343932932,0.19505889998454337,1.0,0.0025
4100000,1.5499268000000004,-0.1755423169612888,0.17005137646258384,1.0,0.0
4200000,-2.9937885999999994,-0.24964090719433774,0.09595278622953497,1.0,0.005
