time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/clip_range
726,47104,300.0,-0.03234813000000001,23,64,0.131494140625,0.1278795599937439,0.012256395,-0.03003737053659279,-1.7461838752031327,220,-0.05291067808866501,0.0003,0.027677184203639627,0.2
723,49152,300.0,-0.07011185999999997,24,67,0.13603515625,0.0018450021743774414,0.013097387,-0.030688982678111643,-1.7267909299582243,230,-0.04260752350091934,0.0003,0.11055742083117366,0.2
725,51200,300.0,-0.07920150000000002,25,70,0.10673828125,-0.06295228004455566,0.011636669,-0.026403445430332795,-1.7189554750919342,240,-0.0751204565167427,0.0003,0.023876034398563208,0.2
730,53248,300.0,-0.18572342,26,72,0.158837890625,0.14757907390594482,0.014562861,-0.03559709537948948,-1.6966872975230216,250,-0.05580470338463783,0.0003,0.026461080595618115,0.2
734,55296,300.0,-0.13278560000000003,27,75,0.147705078125,0.21074068546295166,0.012429846,-0.03129490528808674,-1.6729328956454992,260,-0.0663260817527771,0.0003,0.014588092872872948,0.2
738,57344,300.0,-0.02420427000000001,28,77,0.173828125,0.07209265232086182,0.015837103,-0.032543704260024245,-1.6699687898159028,270,-0.031964678317308426,0.0003,0.0653756205283571,0.2
744,59392,300.0,-0.07345330000000001,29,79,0.16669921875,0.15137803554534912,0.016314294,-0.033266891888342795,-1.6567844301462173,280,-0.03994498401880264,0.0003,0.05489977758843452,0.2
749,61440,300.0,-0.18699806000000005,30,81,0.165625,-0.1367558240890503,0.013544404,-0.03172407566162292,-1.6468127146363258,290,-0.058387480676174164,0.0003,0.041303409310057757,0.2
750,63488,300.0,-0.05166587999999999,31,84,0.160791015625,0.12208229303359985,0.013480432,-0.032463241266668774,-1.642918587476015,300,-0.06072879955172539,0.0003,0.027186042215907945,0.2
755,65536,300.0,-0.16492913,32,86,0.14052734375,0.16277951002120972,0.012577764,-0.030454982782248407,-1.63674552179873,310,-0.04304452985525131,0.0003,0.05706483410904184,0.2
760,67584,300.0,-0.13482486,33,88,0.137158203125,0.08541655540466309,0.013532944,-0.03312199282081565,-1.6268299795687198,320,-0.0373062863945961,0.0003,0.061951551970560105,0.2
766,69632,300.0,-0.10595072999999999,34,90,0.137353515625,0.18672925233840942,0.01465754,-0.03321515067946166,-1.6123005893081426,330,-0.02991284802556038,0.0003,0.057043515937402846,0.2
769,71680,300.0,-0.23427086000000003,35,93,0.147900390625,0.07810300588607788,0.012185296,-0.031214488158002495,-1.608953643962741,340,-0.0537843257188797,0.0003,0.044391669862670825,0.2
775,73728,300.0,-0.3072491,36,95,0.167578125,0.06522822380065918,0.014821384,-0.03276035897943075,-1.6004985470324755,350,-0.03693735599517822,0.0003,0.06246998979477212,0.2
775,75776,300.0,-0.27064717999999993,37,97,0.150830078125,0.06946825981140137,0.014910201,-0.03337178389774635,-1.5947564534842968,360,-0.03232717514038086,0.0003,0.04316084609017708,0.2
779,77824,300.0,-0.42144808,38,99,0.181298828125,0.03907144069671631,0.014874676,-0.033748734266555405,-1.5880374882370234,370,-0.04324047267436981,0.0003,0.05119874397641979,0.2
784,79872,300.0,-0.47527224,39,101,0.180419921875,0.23095548152923584,0.0143280225,-0.03556338917987887,-1.574280534684658,380,-0.062254127115011215,0.0003,0.0126045066761435,0.2
784,81920,300.0,-0.5760277500000001,40,104,0.158544921875,0.16799569129943848,0.01471002,-0.03519365664105863,-1.5589891597628593,390,-0.04012032225728035,0.0003,0.04983715715352446,0.2
788,83968,300.0,-0.51728672,41,106,0.1806640625,0.37045300006866455,0.01737984,-0.0366701886348892,-1.5567106485366822,400,-0.052505552768707275,0.0003,0.022006022441200913,0.2
792,86016,300.0,-0.4352005299999999,42,108,0.15625,0.2152479887008667,0.015241666,-0.032376286677026654,-1.5441969856619835,410,-0.04756273701786995,0.0003,0.055164001660887155,0.2
795,88064,300.0,-0.42151379000000005,43,110,0.163720703125,0.2872563600540161,0.015558317,-0.032004529080586507,-1.5417941611260175,420,-0.06257010996341705,0.0003,0.03244983670010697,0.2
796,90112,300.0,-0.38220397,44,113,0.15576171875,0.24362295866012573,0.015685113,-0.03287438135012053,-1.504658856987953,430,-0.03706090897321701,0.0003,0.053471744037233294,0.2
799,92160,300.0,-0.45253720000000003,45,115,0.181005859375,0.41773778200149536,0.017409941,-0.03495269813574851,-1.510818150639534,440,-0.05873598903417587,0.0003,0.033284768357407304,0.2
