time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates
70,300.0,34,69632,981,-0.44376853000000016,0.141455078125,-1.5394008863717317,0.013873929,-0.03209507806895999,0.2,0.10248741507530212,0.0003,0.3918315444141626,-0.07417857646942139,330
72,300.0,35,71680,982,-0.23105555000000016,0.1521484375,-1.5217644151300191,0.012957135,-0.03463195577642182,0.2,0.1017950251698494,0.0003,0.32286116583272817,0.21995079517364502,340
74,300.0,36,73728,983,0.32083669,0.141943359375,-1.5346120961010457,0.014308622,-0.03302913902443834,0.2,0.31353074312210083,0.0003,0.8391496810130775,0.15645551681518555,350
76,300.0,37,75776,985,0.7886820899999999,0.180419921875,-1.4794348020106554,0.015693268,-0.03579811744566541,0.2,0.15671014785766602,0.0003,0.416971297794953,0.36167049407958984,360
78,300.0,38,77824,985,1.3158618299999998,0.169970703125,-1.5111574076116085,0.014409268,-0.03613837448938284,0.2,0.28065353631973267,0.0003,0.6400805795565248,0.10819607973098755,370
81,300.0,39,79872,985,1.6945184599999998,0.157470703125,-1.479421367496252,0.014568228,-0.03283279345050687,0.2,0.2361525297164917,0.0003,0.7035537710413337,0.10167235136032104,380
83,300.0,40,81920,985,1.7478423800000003,0.1470703125,-1.4484550055116414,0.013700619,-0.03309494002605788,0.2,0.1201237365603447,0.0003,0.3729982129763812,0.21708184480667114,390
85,300.0,41,83968,985,1.4780147300000002,0.1521484375,-1.4409785594791173,0.014711904,-0.030604391172528268,0.2,0.0856039971113205,0.0003,0.25715609421022234,0.1895999312400818,400
87,300.0,42,86016,983,1.66420469,0.189794921875,-1.4530983187258244,0.017031986,-0.037389471486676484,0.2,0.10079237818717957,0.0003,0.2371852031443268,-0.0022965669631958008,410
89,300.0,43,88064,985,2.20262088,0.153564453125,-1.461994954571128,0.014795108,-0.030440212847315705,0.2,0.23384281992912292,0.0003,0.5954556230455637,0.13743489980697632,420
91,300.0,44,90112,986,1.6449602,0.12685546875,-1.4499595016241074,0.013874764,-0.03164270880515687,0.2,0.07686729729175568,0.0003,0.24327117472421378,0.3097904324531555,430
93,300.0,45,92160,986,1.1137660199999997,0.1611328125,-1.4450918938964605,0.014911732,-0.0350285516367876,0.2,-0.006909288465976715,0.0003,0.18242376523558052,0.5036346912384033,440
95,300.0,46,94208,987,0.8225575200000002,0.15205078125,-1.4455447498708964,0.014826296,-0.030368441119208,0.2,0.017640113830566406,0.0003,0.1839127972489223,0.5981653332710266,450
97,300.0,47,96256,989,0.63572227,0.158349609375,-1.4194640286266804,0.014194164,-0.03180810229969211,0.2,0.16679148375988007,0.0003,0.48868235368281604,0.4521893858909607,460
