time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/clip_fraction,train/entropy_loss
9,224,2048,-0.502946,1,300.0,,,,,,,,,,
12,326,4096,0.9055834615384615,2,300.0,0.0003,0.010237192,-0.009802881005452947,0.17638328913599252,-2.6498970985412598,10,0.2,0.046977803111076355,0.05126953125,-1.9396252386271953
16,377,6144,0.8402088499999998,3,300.0,0.0003,0.009249292,-0.016493553442705887,0.09754112035734579,-0.14389276504516602,20,0.2,-0.006131965667009354,0.0755859375,-1.9359692953526975
18,433,8192,0.7476256296296296,4,300.0,0.0003,0.0066090445,-0.015143703622743487,0.0986401384929195,0.0776183009147644,30,0.2,-0.020509585738182068,0.051123046875,-1.9190612696111202
21,480,10240,0.5221476470588234,5,300.0,0.0003,0.008245494,-0.018930323771201074,0.05743373183067888,0.29886388778686523,40,0.2,-0.021007612347602844,0.050390625,-1.9072766594588757
24,503,12288,0.8280346749999999,6,300.0,0.0003,0.008966142,-0.02516639545792714,0.04428775716223754,0.5014601945877075,50,0.2,-0.04099983349442482,0.0896484375,-1.8981037721037866
26,533,14336,0.5904483191489361,7,300.0,0.0003,0.008775318,-0.021801487148331945,0.05907866443740204,0.448542058467865,60,0.2,-0.01382831484079361,0.06708984375,-1.878776566311717
29,552,16384,0.5187523518518519,8,300.0,0.0003,0.010416927,-0.025288377837568987,0.04889327373821288,0.5215460062026978,70,0.2,-0.03737413138151169,0.0994140625,-1.8648606695234775
31,577,18432,0.6795739016393443,9,300.0,0.0003,0.008992,-0.023935469928255772,0.08546472257003188,0.4648970365524292,80,0.2,0.013834195211529732,0.081689453125,-1.8482163272798062
34,585,20480,0.7242200882352942,10,300.0,0.0003,0.009101879,-0.0220751949280384,0.028407003096072005,0.7467190027236938,90,0.2,-0.0692233145236969,0.083203125,-1.8313272792845965
