timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,1.301930430512042,0.6178675256454114,1.0,0.52
100000,2.2322095800000006,0.5380761736675632,-0.14598673119906727,1.0,0.0075
200000,-1.1717424800000003,0.5893066669093162,-0.09475623795731415,1.0,0.0025
300000,-3.71221845,0.6155917431812046,-0.06847116168542598,1.0,0.0025
400000,0.050320340000000206,0.5817729275440077,-0.10228997732262285,1.0,0.005
500000,0.8538980500000002,0.5445814891318514,-0.13948141573477893,1.0,0.005
600000,-1.9636455399999995,0.5718378765338218,-0.11222502833280845,1.0,0.005
700000,-0.19801333999999982,0.636425193198453,-0.04763771166817708,1.0,0.0075
800000,-3.3481237600000004,0.5844870563858613,-0.09957584848076895,1.0,0.005
900000,-6.61034671,0.5927844874619788,-0.09127841740465138,1.0,0.0075
1000000,0.30802228999999975,0.5952416644520736,-0.08882124041455651,1.0,0.0025
1100000,-3.737433040000001,0.5524401959470705,-0.13162270891955954,1.0,0.005
1200000,-2.98595057,0.5892771857874319,-0.09478571907919837,1.0,0.01
1300000,3.23513607,0.6059344669955362,-0.07812843787109411,1.0,0.0075
1400000,0.43549707,0.5821129788400031,-0.10194992602662718,1.0,0.0175
1500000,0.37967224999999993,0.6071413302795291,-0.07692157458710121,1.0,0.01
1600000,-3.3771992899999996,0.580730942593511,-0.1033319622731192,1.0,0.0125
1700000,-1.3495687800000005,0.5436743937219389,-0.14038851114469136,1.0,0.0175
1800000,-1.0522956999999997,0.6171971764629727,-0.06686572840365762,1.0,0.0125
1900000,1.3793641300000001,0.6598201089356596,-0.02424279593097046,1.0,0.005
2000000,-3.8285594099999987,0.7014839959409349,0.017421091074304704,1.0,0.0025
2000896,-1.9630954799999996,0.6934576840813383,0.00939477921470774,1.0,0.0025
