timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,-0.3578676160371464,-0.04713127562540633,1.0,0.0175
100000,-1.1400101500000006,-0.10056197704002486,0.21017436337171497,1.0,0.1075
200000,-2.7680677600000005,-0.1691145394179051,0.14162180099383462,1.0,0.2375
300000,0.12379847999999999,-0.2554556972932528,0.05528064311848707,1.0,0.24
400000,-1.5896018099999998,-0.08912557686088476,0.221610763550855,1.0,0.2875
500000,-3.6652159300000005,-0.25618206915118974,0.05455427126055028,1.0,0.12
600000,0.08626377999999998,-0.06603200408858541,0.24470433632315447,1.0,0.165
700000,0.19394770999999963,-0.05802190473239406,0.2527144356793457,1.0,0.1775
800000,-2.0677046800000003,0.6806306433965645,0.9913669838083041,1.0,0.59
900000,-4.4223221,0.8435358031413646,1.1542721435531045,1.0,0.68
1000000,1.6844822799999997,0.6877960386520052,0.9985323790637455,1.0,0.615
1100000,-0.4986334300000006,1.3534985547231286,1.6642348951348687,1.0,0.7
1200000,-9.5862331,0.43344157869904926,0.7441779191107893,1.0,0.5725
1300000,-0.29054534999999976,0.37423717841191356,0.6849735188236536,1.0,0.2975
1400000,0.5738684600000006,0.055714053527557754,0.3664503939392975,1.0,0.0825
1500000,2.5069117199999997,0.07322396413024762,0.3839603045419874,1.0,0.135
1600000,0.64063515,0.14401392145492145,0.4547502618666617,1.0,0.105
1700000,-2.03387058,0.029340401977537595,0.3400767423892775,1.0,0.1225
1800000,-5.653902380000002,-0.00022719828692949307,0.31050914212481046,1.0,0.0925
1900000,-1.2716459400000004,-0.05605183801804628,0.2546845023936937,1.0,0.0375
2000000,0.19037245999999988,-0.02686565219314236,0.28387068821859757,1.0,0.005
2100000,2.3297025800000006,-0.13057080766724297,0.18016553274449698,1.0,0.0025
2200000,-1.7785617399999998,-0.048605314885408715,0.26213102552633116,1.0,0.0025
2300000,0.5105809299999998,-0.052219610394255794,0.25851673001748415,1.0,0.0
2400000,-0.6026081100000001,-0.07633491862446974,0.23440142178727008,1.0,0.0
2500000,1.2217806699999998,-0.06556684776767878,0.24516949264406102,1.0,0.0
2600000,-3.2814713199999996,-0.06972699064436273,0.24100934976737734,1.0,0.0025
2700000,0.9420212500000003,-0.10763773356585805,0.203098606845882,1.0,0.0
2800000,0.7817683999999997,-0.08331732524119272,0.22741901517054725,1.0,0.0
2900000,-2.2743788,-0.0430794562800039,0.26765688413173616,1.0,0.0
3000000,1.3648045399999997,-0.04260997775880824,0.26812636265293166,1.0,0.0
3100000,2.70165036,-0.04083083787438685,0.26990550253735296,1.0,0.0
3200000,3.8505382900000003,-0.0811573295800224,0.22957901083171758,1.0,0.0
3300000,-2.6602318900000004,0.0037431293848808876,0.3144794697966209,1.0,0.0
3400000,2.1644418699999997,0.011215813804942023,0.32195215421668216,1.0,0.0
3500000,-2.0599548900000006,-0.0025458156615185954,0.3081905247502215,1.0,0.0
3600000,0.5851773900000002,-0.04178521322020657,0.26895112719153347,1.0,0.0025
3700000,0.8268105499999995,0.005891167345117587,0.3166275077568576,1.0,0.0025
3800000,-0.18981446000000005,-0.04068474645788022,0.27005159395385964,1.0,0.0
3900000,-1.3678616300000002,-0.07991959802430387,0.2308167423874361,1.0,0.0
